source_occupation_code,source_occupation_name,target_occupation_code,target_occupation_name,skill_id,skill_name,skill_type,skill_gap_status,target_importance,source_importance,raw_gap,course_code,course_name,training_provider,location,training_hours,fee_per_person,training_capacity,start_date,end_date,subsidy_information,scheduling_information,mapping_method,mapping_score,mapping_terms_matched,mapping_confidence,manual_review_needed
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,172971,PMP國際專案管理訓練班,中華民國全競利促進協會,臺北市,42,8210,26,2026-09-08,2026-11-03,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.54,專案管理; pm; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,173353,PMP國際專案管理訓練班第01期,新北市工業會,新北市,42,8200,20,2026-08-23,2026-10-18,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.54,專案管理; pm; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,173478,PMP專案管理流程實務班,社團法人台灣國際專案管理師協會,臺北市,42,8350,25,2026-09-06,2026-11-01,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.54,專案管理; pm; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,174049,PMP國際專案管理訓練班,社團法人桃園市職能應用發展協會,桃園市,47,8930,25,2026-09-05,2026-11-07,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.54,專案管理; pm; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,171195,AI輔助專案管理應用班,財團法人成大研究發展基金會,臺南市,21,4430,24,2026-08-30,2026-09-20,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.36,專案管理; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,174291,採購專案管理實務應用班,社團法人台灣國際專案管理師協會,臺中市,24,4800,24,2026-08-29,2026-09-19,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.36,專案管理; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,172388,AI 輔助製造業專案管理實務與敏捷手法應用班,東海大學,臺中市,36,6950,24,2026-09-12,2026-11-07,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.36,專案管理; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.d,Management of Personnel Resources,transferable_skill,partially_covered,3.5,2.62,0.88,172615,國際專案管理與AI管理應用實務班,社團法人台灣產學研合作發展策進會,高雄市,36,7370,35,2026-08-29,2026-09-26,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.36,專案管理; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.a,Time Management,transferable_skill,partially_covered,3.5,3.12,0.38,172971,PMP國際專案管理訓練班,中華民國全競利促進協會,臺北市,42,8210,26,2026-09-08,2026-11-03,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.54,專案管理; pm; 管理,Low,yes
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,2.B.5.a,Time Management,transferable_skill,partially_covered,3.5,3.12,0.38,173353,PMP國際專案管理訓練班第01期,新北市工業會,新北市,42,8200,20,2026-08-23,2026-10-18,unknown,unknown,deterministic_course_title_to_onet_skill_keyword_v1,0.54,專案管理; pm; 管理,Low,yes
