onet_occupation_code,onet_occupation,taiwanjobs_occupation,matched_titles,mapping_method,mapping_score,mapping_confidence,manual_review_needed,mapping_review_reason,mapping_keywords,matched_job_count,total_demand_persons,salary_lower_median,salary_upper_median,salary_basis,education_requirement_distribution,experience_requirement_distribution,main_job_locations
31-1131.00,Nursing Assistants,照顧服務員; 經營管理主管,照顧服務員; 家庭照顧服務員; 住宿機構照服員; 照顧服務員(樂福); 照顧服務員(大同昌吉); (景美站09/10微徵)照顧服務員(全職); 居家照服員; 照服員_養護_兆如安養護中心【供宿舍】,deterministic_keyword_field_weight_v1,1.0,High,no,,照顧服務員; 照服員; 看護; 護理助理; 長照; 照顧; 照護; 生活照顧; 病患,139,881,32000,35000,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:117; 國中:9; 高職:5; 國小:4; 專科:2; 高中:2,無:136; 2年以上:2; 1年以上:1,台北市大安區:20; 台北市北投區:18; 台北市大同區:13; 台北市不限:13; 台北市士林區:13; 台北市文山區:11; 台北市中山區:11; 台北市松山區:10
31-9092.00,Medical Assistants,診所助理; 其他醫院從業人員; 醫院診所掛號員; 櫃檯服務人員; 總機接待人員,醫療助理; 醫院傳送人員(內湖三總); 醫院病房衛材管理人員(內湖三總); 診所行政櫃檯助理(五五就業促進獎勵); 診所行政櫃檯助理; 診所護理及行政人員; (9/16徵才)醫院 早班/小夜班傳送員; 醫事人員 ■無經驗可(此為現場徵才活動職缺),deterministic_keyword_field_weight_v1,1.0,High,no,,診所助理; 醫務助理; 醫療助理; 醫院診所掛號員; 其他醫院從業人員; 掛號; 診所; 醫院; 櫃檯; 病歷; 醫療,20,56,33000,38000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:6; 高中:5; 不拘:3; 高職:3; 大學:2; 國中:1,無:16; 1年內:2; 1年以上:1; 3年以上:1,台北市中山區:6; 台北市不限:5; 台北市大安區:3; 台北市內湖區:2; 台北市大同區:1; 台北市中正區:1; 台北市萬華區:1; 台北市北投區:1
29-1141.00,Registered Nurses,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,High,no,,護理師; 護士; 護理; 照護; 病患; 臨床; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
29-1141.01,Acute Care Nurses,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,High,no,,護理師; 護士; 護理; 照護; 病患; 臨床; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
29-1141.03,Critical Care Nurses,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,High,no,,護理師; 護士; 護理; 照護; 病患; 臨床; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
29-2061.00,Licensed Practical and Licensed Vocational Nurses,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,TaiwanJobs does not clearly separate LPN/LVN from Taiwan nursing titles.,護理師; 護士; 護理; 照護; 病患; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
29-1171.00,Nurse Practitioners,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Advanced nursing titles may map to generic Taiwan nursing jobs in this sample.,護理師; 護士; 護理; 照護; 病患; 臨床; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
29-1141.04,Clinical Nurse Specialists,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Advanced nursing titles may map to generic Taiwan nursing jobs in this sample.,護理師; 護士; 護理; 照護; 病患; 臨床; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
29-1141.02,Advanced Practice Psychiatric Nurses,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Advanced nursing titles may map to generic Taiwan nursing jobs in this sample.,護理師; 護士; 護理; 照護; 病患; 臨床; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
29-1151.00,Nurse Anesthetists,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Advanced nursing titles may map to generic Taiwan nursing jobs in this sample.,護理師; 護士; 護理; 照護; 病患; 臨床; 長照,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1
