source_file,survey_period,survey_age_scope,geography,category,indicator,percent,denominator_note,source_location,age_harmonization_status
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_search_preparation,初次尋職前有做過準備,58.1,all,page 19-20,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_search_preparation,增加打工或實習經驗,25.2,all,page 19-20,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_search_preparation,考取專業證照,24.3,all,page 19-20,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_search_preparation,找師長、親友諮詢就業方向,19.8,all,page 19-20,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_search_preparation,做職業興趣分析,14.6,all,page 19-20,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_search_preparation,參加職業訓練增加技能,4.2,all,page 19-20,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_info,認為就業資訊有助於初次尋職,85.4,all,page 21,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_info,面試或求職技巧,70.0,among helpful info responses,page 21,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_info,就業市場與情勢分析,56.3,among helpful info responses,page 21,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_info,熱門行職業介紹,30.1,among helpful info responses,page 21,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_info,職業訓練訊息,29.6,among helpful info responses,page 21,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,job_info,撰寫中英文履歷技巧,25.6,among helpful info responses,page 21,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,first_job_factor,工作穩定性,51.6,all,page 22,Proxy for 18-35
mol_youth_employment_survey_113.pdf,ROC 113 / 2024-10,15-29 youth workers,全台,first_job_factor,薪資及福利,46.7,all,page 22,Proxy for 18-35
