year,geography,age_group,sex,raw_education_column,value,age_harmonization_status,category_label_status
1998,新北市,15歲以上總人口,計,itemvalue4,2686417.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1998,新北市,15歲以上總人口,男,itemvalue4,1350450.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1998,新北市,15歲以上總人口,女,itemvalue4,1335967.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1998,新北市,15~19歲,計,itemvalue4,333788.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
1998,新北市,15~19歲,男,itemvalue4,172150.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
1998,新北市,15~19歲,女,itemvalue4,161638.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
1998,新北市,20~24歲,計,itemvalue4,309021.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,20~24歲,男,itemvalue4,158463.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,20~24歲,女,itemvalue4,150558.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,25~29歲,計,itemvalue4,289148.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,25~29歲,男,itemvalue4,146148.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,25~29歲,女,itemvalue4,143000.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,30~34歲,計,itemvalue4,311661.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,30~34歲,男,itemvalue4,151247.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,30~34歲,女,itemvalue4,160414.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
1998,新北市,35~39歲,計,itemvalue4,331020.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
1998,新北市,35~39歲,男,itemvalue4,161042.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
1998,新北市,35~39歲,女,itemvalue4,169978.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
1998,新北市,40~44歲,計,itemvalue4,304933.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1998,新北市,40~44歲,男,itemvalue4,149363.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
