year,source_file,raw_column,inferred_age_group,sex,employed_share_percent,age_harmonization_status,label_confidence
2006,ntpc_employed_age_structure.csv,percent2,15-24,male,7.16,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent3,15-24,female,12.33,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent4,25-29,male,14.62,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent5,25-29,female,17.95,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent6,30-34,male,14.21,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent7,30-34,female,15.07,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent8,35-39,male,14.72,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent9,35-39,female,14.66,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent10,40-44,male,14.72,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent11,40-44,female,14.93,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent12,45-49,male,14.01,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent13,45-49,female,12.47,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent14,50-54,male,11.45,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent15,50-54,female,8.63,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent16,55-59,male,6.03,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent17,55-59,female,2.88,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent18,60-64,male,2.25,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent19,60-64,female,0.82,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent20,65+,male,0.82,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_employed_age_structure.csv,percent21,65+,female,0.27,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent2,15-24,male,7.04,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent3,15-24,female,11.61,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent4,25-29,male,14.39,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent5,25-29,female,17.94,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent6,30-34,male,14.59,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent7,30-34,female,15.44,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent8,35-39,male,14.29,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent9,35-39,female,14.38,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent10,40-44,male,14.49,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent11,40-44,female,14.51,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent12,45-49,male,13.98,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent13,45-49,female,12.27,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent14,50-54,male,11.37,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent15,50-54,female,8.97,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent16,55-59,male,6.74,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent17,55-59,female,3.69,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent18,60-64,male,2.21,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent19,60-64,female,0.92,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent20,65+,male,0.91,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent21,65+,female,0.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
