period,roc_year,year,month,area,sex,age,population,age_scope
109年 (1~10月),109,2020,,區域別總計,性別總計,0,155097,single age
109年 (1~10月),109,2020,,區域別總計,男,0,80453,single age
109年 (1~10月),109,2020,,區域別總計,女,0,74644,single age
109年 (1~10月),109,2020,,新北市,性別總計,0,25047,single age
109年 (1~10月),109,2020,,新北市,男,0,12893,single age
109年 (1~10月),109,2020,,新北市,女,0,12154,single age
109年 (1~10月),109,2020,,臺北市,性別總計,0,17645,single age
109年 (1~10月),109,2020,,臺北市,男,0,9247,single age
109年 (1~10月),109,2020,,臺北市,女,0,8398,single age
109年 (1~10月),109,2020,,桃園市,性別總計,0,19790,single age
109年 (1~10月),109,2020,,桃園市,男,0,10171,single age
109年 (1~10月),109,2020,,桃園市,女,0,9619,single age
109年 (1~10月),109,2020,,臺中市,性別總計,0,18893,single age
109年 (1~10月),109,2020,,臺中市,男,0,9744,single age
109年 (1~10月),109,2020,,臺中市,女,0,9149,single age
109年 (1~10月),109,2020,,臺南市,性別總計,0,10359,single age
109年 (1~10月),109,2020,,臺南市,男,0,5422,single age
109年 (1~10月),109,2020,,臺南市,女,0,4937,single age
109年 (1~10月),109,2020,,高雄市,性別總計,0,17501,single age
109年 (1~10月),109,2020,,高雄市,男,0,9095,single age
109年 (1~10月),109,2020,,高雄市,女,0,8406,single age
109年 (1~10月),109,2020,,宜蘭縣,性別總計,0,2674,single age
109年 (1~10月),109,2020,,宜蘭縣,男,0,1348,single age
109年 (1~10月),109,2020,,宜蘭縣,女,0,1326,single age
109年 (1~10月),109,2020,,新竹縣,性別總計,0,4282,single age
109年 (1~10月),109,2020,,新竹縣,男,0,2202,single age
109年 (1~10月),109,2020,,新竹縣,女,0,2080,single age
109年 (1~10月),109,2020,,苗栗縣,性別總計,0,2723,single age
109年 (1~10月),109,2020,,苗栗縣,男,0,1427,single age
109年 (1~10月),109,2020,,苗栗縣,女,0,1296,single age
109年 (1~10月),109,2020,,彰化縣,性別總計,0,10560,single age
109年 (1~10月),109,2020,,彰化縣,男,0,5558,single age
109年 (1~10月),109,2020,,彰化縣,女,0,5002,single age
109年 (1~10月),109,2020,,南投縣,性別總計,0,2862,single age
109年 (1~10月),109,2020,,南投縣,男,0,1511,single age
109年 (1~10月),109,2020,,南投縣,女,0,1351,single age
109年 (1~10月),109,2020,,雲林縣,性別總計,0,3827,single age
109年 (1~10月),109,2020,,雲林縣,男,0,1973,single age
109年 (1~10月),109,2020,,雲林縣,女,0,1854,single age
109年 (1~10月),109,2020,,嘉義縣,性別總計,0,2685,single age
109年 (1~10月),109,2020,,嘉義縣,男,0,1377,single age
109年 (1~10月),109,2020,,嘉義縣,女,0,1308,single age
109年 (1~10月),109,2020,,屏東縣,性別總計,0,4207,single age
109年 (1~10月),109,2020,,屏東縣,男,0,2228,single age
109年 (1~10月),109,2020,,屏東縣,女,0,1979,single age
109年 (1~10月),109,2020,,臺東縣,性別總計,0,1287,single age
109年 (1~10月),109,2020,,臺東縣,男,0,667,single age
109年 (1~10月),109,2020,,臺東縣,女,0,620,single age
109年 (1~10月),109,2020,,花蓮縣,性別總計,0,2039,single age
109年 (1~10月),109,2020,,花蓮縣,男,0,1078,single age
109年 (1~10月),109,2020,,花蓮縣,女,0,961,single age
109年 (1~10月),109,2020,,澎湖縣,性別總計,0,904,single age
109年 (1~10月),109,2020,,澎湖縣,男,0,469,single age
109年 (1~10月),109,2020,,澎湖縣,女,0,435,single age
109年 (1~10月),109,2020,,基隆市,性別總計,0,1891,single age
109年 (1~10月),109,2020,,基隆市,男,0,948,single age
109年 (1~10月),109,2020,,基隆市,女,0,943,single age
109年 (1~10月),109,2020,,新竹市,性別總計,0,3542,single age
109年 (1~10月),109,2020,,新竹市,男,0,1867,single age
109年 (1~10月),109,2020,,新竹市,女,0,1675,single age
109年 (1~10月),109,2020,,嘉義市,性別總計,0,1349,single age
109年 (1~10月),109,2020,,嘉義市,男,0,700,single age
109年 (1~10月),109,2020,,嘉義市,女,0,649,single age
109年 (1~10月),109,2020,,金門縣,性別總計,0,921,single age
109年 (1~10月),109,2020,,金門縣,男,0,466,single age
109年 (1~10月),109,2020,,金門縣,女,0,455,single age
109年 (1~10月),109,2020,,連江縣,性別總計,0,109,single age
109年 (1~10月),109,2020,,連江縣,男,0,62,single age
109年 (1~10月),109,2020,,連江縣,女,0,47,single age
109年 1月,109,2020,1.0,區域別總計,性別總計,0,165094,single age
109年 1月,109,2020,1.0,區域別總計,男,0,85721,single age
109年 1月,109,2020,1.0,區域別總計,女,0,79373,single age
109年 1月,109,2020,1.0,新北市,性別總計,0,26486,single age
109年 1月,109,2020,1.0,新北市,男,0,13684,single age
109年 1月,109,2020,1.0,新北市,女,0,12802,single age
109年 1月,109,2020,1.0,臺北市,性別總計,0,19799,single age
109年 1月,109,2020,1.0,臺北市,男,0,10233,single age
109年 1月,109,2020,1.0,臺北市,女,0,9566,single age
109年 1月,109,2020,1.0,桃園市,性別總計,0,20999,single age
109年 1月,109,2020,1.0,桃園市,男,0,10916,single age
109年 1月,109,2020,1.0,桃園市,女,0,10083,single age
109年 1月,109,2020,1.0,臺中市,性別總計,0,20297,single age
109年 1月,109,2020,1.0,臺中市,男,0,10541,single age
109年 1月,109,2020,1.0,臺中市,女,0,9756,single age
109年 1月,109,2020,1.0,臺南市,性別總計,0,11173,single age
109年 1月,109,2020,1.0,臺南市,男,0,5781,single age
109年 1月,109,2020,1.0,臺南市,女,0,5392,single age
109年 1月,109,2020,1.0,高雄市,性別總計,0,18172,single age
109年 1月,109,2020,1.0,高雄市,男,0,9420,single age
109年 1月,109,2020,1.0,高雄市,女,0,8752,single age
109年 1月,109,2020,1.0,宜蘭縣,性別總計,0,2877,single age
109年 1月,109,2020,1.0,宜蘭縣,男,0,1476,single age
109年 1月,109,2020,1.0,宜蘭縣,女,0,1401,single age
109年 1月,109,2020,1.0,新竹縣,性別總計,0,4368,single age
109年 1月,109,2020,1.0,新竹縣,男,0,2291,single age
109年 1月,109,2020,1.0,新竹縣,女,0,2077,single age
109年 1月,109,2020,1.0,苗栗縣,性別總計,0,2900,single age
109年 1月,109,2020,1.0,苗栗縣,男,0,1543,single age
109年 1月,109,2020,1.0,苗栗縣,女,0,1357,single age
109年 1月,109,2020,1.0,彰化縣,性別總計,0,10926,single age
109年 1月,109,2020,1.0,彰化縣,男,0,5697,single age
109年 1月,109,2020,1.0,彰化縣,女,0,5229,single age
109年 1月,109,2020,1.0,南投縣,性別總計,0,2949,single age
109年 1月,109,2020,1.0,南投縣,男,0,1524,single age
109年 1月,109,2020,1.0,南投縣,女,0,1425,single age
109年 1月,109,2020,1.0,雲林縣,性別總計,0,4017,single age
109年 1月,109,2020,1.0,雲林縣,男,0,2111,single age
109年 1月,109,2020,1.0,雲林縣,女,0,1906,single age
109年 1月,109,2020,1.0,嘉義縣,性別總計,0,2712,single age
109年 1月,109,2020,1.0,嘉義縣,男,0,1392,single age
109年 1月,109,2020,1.0,嘉義縣,女,0,1320,single age
109年 1月,109,2020,1.0,屏東縣,性別總計,0,4478,single age
109年 1月,109,2020,1.0,屏東縣,男,0,2334,single age
109年 1月,109,2020,1.0,屏東縣,女,0,2144,single age
109年 1月,109,2020,1.0,臺東縣,性別總計,0,1357,single age
109年 1月,109,2020,1.0,臺東縣,男,0,736,single age
109年 1月,109,2020,1.0,臺東縣,女,0,621,single age
109年 1月,109,2020,1.0,花蓮縣,性別總計,0,2219,single age
109年 1月,109,2020,1.0,花蓮縣,男,0,1183,single age
109年 1月,109,2020,1.0,花蓮縣,女,0,1036,single age
109年 1月,109,2020,1.0,澎湖縣,性別總計,0,913,single age
109年 1月,109,2020,1.0,澎湖縣,男,0,458,single age
109年 1月,109,2020,1.0,澎湖縣,女,0,455,single age
109年 1月,109,2020,1.0,基隆市,性別總計,0,1889,single age
109年 1月,109,2020,1.0,基隆市,男,0,995,single age
109年 1月,109,2020,1.0,基隆市,女,0,894,single age
109年 1月,109,2020,1.0,新竹市,性別總計,0,3778,single age
109年 1月,109,2020,1.0,新竹市,男,0,1990,single age
109年 1月,109,2020,1.0,新竹市,女,0,1788,single age
109年 1月,109,2020,1.0,嘉義市,性別總計,0,1602,single age
109年 1月,109,2020,1.0,嘉義市,男,0,813,single age
109年 1月,109,2020,1.0,嘉義市,女,0,789,single age
109年 1月,109,2020,1.0,金門縣,性別總計,0,1045,single age
109年 1月,109,2020,1.0,金門縣,男,0,529,single age
109年 1月,109,2020,1.0,金門縣,女,0,516,single age
109年 1月,109,2020,1.0,連江縣,性別總計,0,138,single age
109年 1月,109,2020,1.0,連江縣,男,0,74,single age
109年 1月,109,2020,1.0,連江縣,女,0,64,single age
109年 2月,109,2020,2.0,區域別總計,性別總計,0,165565,single age
109年 2月,109,2020,2.0,區域別總計,男,0,85851,single age
109年 2月,109,2020,2.0,區域別總計,女,0,79714,single age
109年 2月,109,2020,2.0,新北市,性別總計,0,26651,single age
109年 2月,109,2020,2.0,新北市,男,0,13764,single age
109年 2月,109,2020,2.0,新北市,女,0,12887,single age
109年 2月,109,2020,2.0,臺北市,性別總計,0,19898,single age
109年 2月,109,2020,2.0,臺北市,男,0,10302,single age
