year,source_file,raw_column,inferred_age_group,sex,unemployment_rate_percent,age_harmonization_status,label_confidence
2006,ntpc_unemployment_rate_by_age.csv,item value2,15-24,male,10.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value3,15-24,female,7.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value4,25-29,male,6.2,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value5,25-29,female,4.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value6,30-34,male,4.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value7,30-34,female,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value8,35-39,male,2.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value9,35-39,female,2.2,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value10,40-44,male,3.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value11,40-44,female,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value12,45-49,male,1.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value13,45-49,female,2.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value14,50-54,male,3.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value15,50-54,female,1.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value16,55-59,male,1.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value17,55-59,female,4.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value18,60-64,male,1.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value19,60-64,female,0.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value20,65+,male,0.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2006,ntpc_unemployment_rate_by_age.csv,item value21,65+,female,3.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value2,15-24,male,9.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value3,15-24,female,9.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value4,25-29,male,6.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value5,25-29,female,4.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value6,30-34,male,4.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value7,30-34,female,3.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value8,35-39,male,2.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value9,35-39,female,2.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value10,40-44,male,3.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value11,40-44,female,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value12,45-49,male,2.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value13,45-49,female,2.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value14,50-54,male,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value15,50-54,female,1.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value16,55-59,male,2.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value17,55-59,female,4.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value18,60-64,male,1.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value19,60-64,female,0.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value20,65+,male,0.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_unemployment_rate_by_age.csv,item value21,65+,female,2.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value2,15-24,male,12.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value3,15-24,female,10.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value4,25-29,male,6.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value5,25-29,female,5.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value6,30-34,male,3.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value7,30-34,female,2.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value8,35-39,male,2.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value9,35-39,female,1.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value10,40-44,male,2.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value11,40-44,female,2.2,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value12,45-49,male,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value13,45-49,female,2.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value14,50-54,male,3.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value15,50-54,female,2.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value16,55-59,male,2.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value17,55-59,female,3.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value18,60-64,male,1.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value19,60-64,female,0.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value20,65+,male,1.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_unemployment_rate_by_age.csv,item value21,65+,female,0.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value2,15-24,male,16.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value3,15-24,female,11.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value4,25-29,male,10.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value5,25-29,female,7.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value6,30-34,male,6.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value7,30-34,female,4.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value8,35-39,male,5.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value9,35-39,female,3.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value10,40-44,male,5.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value11,40-44,female,3.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value12,45-49,male,4.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value13,45-49,female,4.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value14,50-54,male,4.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value15,50-54,female,3.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value16,55-59,male,5.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value17,55-59,female,1.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value18,60-64,male,3.2,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value19,60-64,female,1.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value20,65+,male,0.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_unemployment_rate_by_age.csv,item value21,65+,female,0.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value2,15-24,male,12.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value3,15-24,female,10.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value4,25-29,male,8.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value5,25-29,female,6.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value6,30-34,male,6.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value7,30-34,female,4.2,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value8,35-39,male,4.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value9,35-39,female,3.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value10,40-44,male,5.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value11,40-44,female,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value12,45-49,male,4.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value13,45-49,female,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value14,50-54,male,4.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value15,50-54,female,2.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value16,55-59,male,2.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value17,55-59,female,2.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value18,60-64,male,1.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value19,60-64,female,0.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value20,65+,male,0.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_unemployment_rate_by_age.csv,item value21,65+,female,0.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
