district,job_postings,hiring_count,company_count,median_salary,top_job_category,source_file,source_organization,source_snapshot_date
三峽區,98,375,61,34416.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
三芝區,22,59,14,35000.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
三重區,230,839,150,33500.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
中和區,269,970,186,34500.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
五股區,95,422,77,34500.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
八里區,77,391,39,36230.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
土城區,263,875,109,33931.25,品管／製造／環衛,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
坪林區,4,11,3,38000.0,經營／行政／總務,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
平溪區,2,5,2,35000.0,農林漁牧相關,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
新店區,275,769,140,35000.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
新莊區,309,833,159,34807.5,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
板橋區,281,951,147,34750.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
林口區,184,668,107,36500.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
樹林區,433,1624,189,34500.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
永和區,76,257,56,34125.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
汐止區,360,1170,168,35000.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
泰山區,60,238,39,35875.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
淡水區,139,849,91,33750.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
深坑區,25,94,15,35250.0,旅遊／餐飲／休閒,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
烏來區,20,61,7,35500.0,旅遊／餐飲／休閒,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
瑞芳區,80,205,43,35000.0,品管／製造／環衛,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
石碇區,4,14,3,32425.0,旅遊／餐飲／休閒,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
石門區,11,24,7,33250.0,旅遊／餐飲／休閒,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
萬里區,40,94,19,34000.0,旅遊／餐飲／休閒,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
蘆洲區,63,267,40,33500.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
貢寮區,10,25,6,34375.0,旅遊／餐飲／休閒,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
金山區,45,144,20,34000.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
雙溪區,4,7,4,33500.0,醫療／美容／保健,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
鶯歌區,105,371,54,34335.0,技術／維修／操作,data/raw/employment/new_taipei_jobs.csv,TaiwanJobs,2026-08-25
