city,district,official_contract_count,official_rent_q1,official_median_rent,official_rent_q3,official_unit_price_q1,official_median_unit_price,official_unit_price_q3,transaction_record_count,transaction_rent_q1,transaction_median_rent,transaction_rent_q3,transaction_unit_price_q1,transaction_median_unit_price,transaction_unit_price_q3,social_housing_share,non_social_record_count,non_social_median_rent,non_social_median_unit_price,rent_difference,rent_difference_pct,contract_count_match_between_pdfs
新北市,三峽區,744,9000,10000,12500,1106,1377,1637,253.0,10000.0,12000.0,13000.0,252.0,301.0,340.0,0.9051383399209486,24.0,13000.0,356.5,2000.0,0.2,True
新北市,三芝區,314,5700,6800,8000,604,675,771,204.0,6000.0,6690.0,7350.0,134.0,160.0,181.0,0.9656862745098039,7.0,8000.0,133.0,-110.0,-0.016176470588235296,True
新北市,三重區,2135,11000,15000,19000,1067,1442,1921,757.0,15000.0,19000.0,22000.0,357.0,432.0,508.0,0.6169088507265522,290.0,21350.0,487.0,4000.0,0.26666666666666666,True
新北市,中和區,1425,12100,15000,18500,1318,1584,1935,1001.0,13400.0,16000.0,20000.0,300.0,378.0,471.0,0.7902097902097902,210.0,27000.0,627.0,1000.0,0.06666666666666667,True
新北市,五股區,322,13000,16000,19000,1096,1308,1559,129.0,10500.0,15000.0,18000.0,230.0,270.0,310.0,0.9922480620155039,1.0,19091.0,333.0,-1000.0,-0.0625,True
新北市,八里區,121,11000,13000,15000,920,1068,1303,59.0,13350.0,15000.0,17000.0,206.5,237.0,272.0,0.9830508474576272,1.0,17000.0,307.0,2000.0,0.15384615384615385,True
新北市,土城區,677,11000,14500,19500,1176,1464,1799,305.0,12000.0,14000.0,16000.0,298.0,357.0,414.0,0.9311475409836065,21.0,15000.0,364.0,-500.0,-0.034482758620689655,True
新北市,新店區,649,12000,15500,19000,1170,1523,1966,433.0,14000.0,17500.0,23000.0,323.0,401.0,462.0,0.6189376443418014,165.0,24500.0,433.0,2000.0,0.12903225806451613,True
新北市,新莊區,838,12600,15700,19900,1197,1540,1868,435.0,14000.0,16000.0,18500.0,298.0,344.0,384.5,0.8919540229885058,47.0,18026.0,374.0,300.0,0.01910828025477707,True
新北市,板橋區,1433,12000,16000,21000,1241,1707,2127,786.0,14000.0,17425.0,20275.0,333.0,400.5,473.25,0.9007633587786259,78.0,21000.0,428.0,1425.0,0.0890625,True
新北市,林口區,182,13600,18000,21000,1385,1624,1862,114.0,15000.0,19000.0,22278.75,261.0,319.0,364.75,0.6929824561403509,35.0,25000.0,362.0,1000.0,0.05555555555555555,True
新北市,樹林區,242,10000,13000,15000,1031,1330,1613,117.0,10000.0,12975.0,15000.0,251.0,288.0,334.0,0.9316239316239316,8.0,14752.0,273.5,-25.0,-0.0019230769230769232,True
新北市,永和區,479,12000,15000,18000,1274,1614,1935,314.0,13067.5,16000.0,19500.0,345.0,408.0,479.0,0.8757961783439491,39.0,23800.0,520.0,1000.0,0.06666666666666667,True
新北市,汐止區,928,11000,14000,17000,1066,1368,1686,463.0,12000.0,14026.0,17000.0,243.0,306.0,361.0,0.9438444924406048,26.0,15319.0,328.0,26.0,0.0018571428571428571,True
新北市,泰山區,202,7000,10000,16000,1176,1668,2132,101.0,5500.0,8300.0,12000.0,286.0,328.0,393.0,0.9900990099009901,1.0,13000.0,375.0,-1700.0,-0.17,True
新北市,淡水區,2574,8000,10000,14000,1015,1165,1369,1328.0,7900.0,10000.0,13500.0,207.0,251.0,295.0,0.8780120481927711,162.0,12000.0,296.5,0.0,0.0,True
新北市,深坑區,46,11000,13000,14000,1173,1564,2216,18.0,11000.0,12900.0,13300.0,327.5,379.5,410.0,0.9444444444444444,1.0,5500.0,65.0,-100.0,-0.007692307692307693,True
新北市,萬里區,59,7000,8500,9500,752,925,1034,60.0,7000.0,8500.0,9000.0,140.75,162.5,188.0,0.9833333333333333,1.0,10000.0,152.0,0.0,0.0,True
新北市,蘆洲區,223,14500,18500,23500,1278,1741,2033,106.0,17000.0,18500.0,19000.0,306.25,352.0,372.0,0.9811320754716981,2.0,30000.0,270.0,0.0,0.0,True
新北市,鶯歌區,122,9000,14500,18000,955,1182,1355,34.0,7000.0,11500.0,14750.0,183.0,207.0,279.0,0.9705882352941176,1.0,12500.0,111.0,-3000.0,-0.20689655172413793,True
臺北市,內湖區,364,15000,19500,23000,1691,2070,2456,,,,,,,,,,,,,,True
