district,youth_population_18_35,job_postings,job_openings,salary_valid_count,category_valid_count,work_type_valid_count,company_count,salary_sample_size,diversity_sample_size,stability_sample_size
板橋區,106473,368,1111.0,207,368,293,183,207,368,293
三重區,78274,239,792.0,183,239,230,153,183,239,230
中和區,78428,279,973.0,204,279,255,185,204,279,255
永和區,37979,88,273.0,59,88,80,64,59,88,80
新莊區,89309,364,948.0,263,364,316,184,263,364,316
新店區,60157,298,868.0,207,298,280,157,207,298,280
樹林區,38715,467,1702.0,407,467,459,199,407,467,459
鶯歌區,20341,97,274.0,69,97,92,45,69,97,92
三峽區,25677,114,349.0,82,114,96,69,82,114,96
淡水區,42708,140,553.0,106,140,124,82,106,140,124
汐止區,45112,345,925.0,246,345,336,170,246,345,336
瑞芳區,7118,82,226.0,67,82,80,46,67,82,80
土城區,52671,283,896.0,215,283,277,111,215,283,277
蘆洲區,44696,55,204.0,36,55,46,34,36,55,46
五股區,22623,88,304.0,77,88,84,72,77,88,84
泰山區,17203,67,292.0,48,67,63,41,48,67,63
林口區,27415,175,630.0,134,175,170,104,134,175,170
深坑區,5297,21,56.0,11,21,21,13,11,21,21
石碇區,1341,5,15.0,3,5,4,4,3,5,4
坪林區,1077,6,11.0,3,6,3,4,3,6,3
三芝區,4565,22,48.0,17,22,20,12,17,22,20
石門區,2134,9,21.0,7,9,9,5,7,9,9
八里區,9948,80,232.0,58,80,73,41,58,80,73
平溪區,546,6,13.0,1,6,2,5,1,6,2
雙溪區,1215,5,8.0,2,5,3,4,2,5,3
貢寮區,1691,10,29.0,7,10,9,7,7,10,9
金山區,4170,53,152.0,35,53,48,23,35,53,48
萬里區,3897,47,97.0,32,47,43,23,32,47,43
烏來區,1434,22,67.0,19,22,22,9,19,22,22
