workplace_id,workplace_name,workplace_district,workplace_lat,workplace_lon,candidate_name,district,lat,lon,station_name,station_operator,station_uid,station_id,official_benchmark_city,official_median_rent,commute_minutes,transfer_count,rent_saving_vs_neihu,is_pareto_efficient,dominated_by,selection_reason,route_count_at_station,departure_time,route_summary,source_endpoint,maas_response_file
gangqian_neihu,港墘站,內湖,25.08007,121.57516,板橋站,板橋區,25.014098,121.462671,板橋,TRTC,TRTC-BL07,BL07,新北市,16000,43.2,1,3500,True,,Primary Banqiao multimodal hub represented by its MRT station coordinate.,,2026-08-24T08:00:00,MRT 板南線 (板橋->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/banqiao_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,汐止車站,汐止區,25.0679,121.66113,汐止,TRA,TRA-0960,0960,新北市,14000,47.2,1,5500,True,,TRA station anchoring Xizhi's main rail commute corridor.,,2026-08-24T08:00:00,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘),https://tdx.transportdata.tw/api/basic/v2/Rail/TRA/Station,data/interim/transport/tdx_maas_responses/xizhi_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,大坪林站,新店區,24.98272,121.54134,大坪林,TRTC,TRTC-G04,G04,新北市,15500,50.8,1,4000,False,汐止車站,Representative Xindian MRT station with direct urban access.,,2026-08-24T08:00:00,MRT 松山新店線 (大坪林->南京復興) | MRT 文湖線 (南京復興->港墘),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/dapinglin_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,三重站,三重區,25.05571,121.48422,三重,TRTC,TRTC-O15,O15,新北市,15000,51.7,1,4500,False,汐止車站,Representative Sanchong MRT station on the Zhonghe-Xinlu line.,,2026-08-24T08:00:00,MRT 中和新蘆線 (三重->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/sanchong_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,頂溪站,永和區,25.01308,121.515398,頂溪,TRTC,TRTC-O04,O04,新北市,15000,51.7,1,4500,False,汐止車站,Central Yonghe MRT station on the Zhonghe-Xinlu line.,,2026-08-24T08:00:00,Bus 內科通勤專車2 (捷運頂溪站->基湖站) | MRT 文湖線 (西湖->港墘),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/dingxi_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,土城站,土城區,24.97313,121.44432,土城,TRTC,TRTC-BL03,BL03,新北市,14500,53.6,1,5000,False,汐止車站,"MRT station named for and located in Tucheng, suitable as the district's transit anchor.",,2026-08-24T08:00:00,MRT 板南線 (土城->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/tucheng_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,蘆洲站,蘆洲區,25.09152,121.46471,蘆洲,TRTC,TRTC-O54,O54,新北市,18500,53.8,1,1000,False,板橋站; 汐止車站; 大坪林站; 三重站; 頂溪站; 土城站,Terminal MRT node and representative Luzhou transit anchor.,,2026-08-24T08:00:00,MRT 中和新蘆線 (蘆洲->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/luzhou_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,新莊站,新莊區,25.03608,121.45218,新莊,TRTC,TRTC-O18,O18,新北市,15700,61.3,1,3800,False,汐止車站; 大坪林站; 三重站; 頂溪站; 土城站,Established MRT node in the older Xinzhuang urban core.,,2026-08-24T08:00:00,MRT 中和新蘆線 (新莊->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/xinzhuang_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,景安站,中和區,24.99392,121.505114,景安,TRTC,TRTC-O02,O02,新北市,15000,63.8,1,4500,False,汐止車站; 三重站; 頂溪站; 土城站,Major Zhonghe interchange area with MRT access.,,2026-08-24T08:00:00,MRT 中和新蘆線 (景安->中山國小) | Bus 內湖幹線 (台泥大樓(馬偕醫院)->捷運港墘站(內湖高工)),https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,data/interim/transport/tdx_maas_responses/jingan_station_to_gangqian.json
gangqian_neihu,港墘站,內湖,25.08007,121.57516,樹林車站,樹林區,24.99123,121.42442,樹林,TRA,TRA-1040,1040,新北市,13000,64.7,1,6500,True,,TRA station and main rail anchor for Shulin.,,2026-08-24T08:00:00,TRA 鶯歌-蘇澳新 (樹林->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),https://tdx.transportdata.tw/api/basic/v2/Rail/TRA/Station,data/interim/transport/tdx_maas_responses/shulin_station_to_gangqian.json
