city,district,source_month,source_period,source_url,source_dataset,village_count,total_population,youth_18_35_count,youth_18_35_share,youth_18_35_male,youth_18_35_female,exact_age_definition
新北市,三峽區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,28,115087,25677,0.2231094737,13543,12134,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,三芝區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,13,21952,4565,0.2079537172,2425,2140,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,三重區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,119,382569,78274,0.2046010001,40836,37438,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,中和區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,93,402318,78428,0.1949403208,40512,37916,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,五股區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,21,95055,22623,0.2379990532,11914,10709,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,八里區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,10,43412,9948,0.2291532295,5164,4784,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,土城區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,47,242738,52671,0.2169870395,27268,25403,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,坪林區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,7,6059,1077,0.1777521043,565,512,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,平溪區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,12,3874,546,0.1409395973,292,254,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,新店區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,69,305637,60157,0.1968249917,30837,29320,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
新北市,新莊區,11507,115年07月 / 2026-07,https://www.ris.gov.tw/rs-opendata/api/v1/datastore/ODRP014/11507?COUNTY=%E6%96%B0%E5%8C%97%E5%B8%82,ODRP014 village household and single-age population,84,420079,89309,0.2126004871,45924,43385,"sum people_age_018_m/f through people_age_035_m/f, inclusive"
