candidate_name,district,station_name,station_operator,station_uid,station_id,lat,lon,source_endpoint,source_update_time,tdx_update_time,selection_reason,route_count_at_station
汐止車站,汐止區,汐止,TRA,TRA-0960,0960,25.0679,121.66113,https://tdx.transportdata.tw/api/basic/v2/Rail/TRA/Station,,2026-08-22T06:48:58+08:00,TRA station anchoring Xizhi's main rail commute corridor.,
頂溪站,永和區,頂溪,TRTC,TRTC-O04,O04,25.01308,121.515398,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Central Yonghe MRT station on the Zhonghe-Xinlu line.,
景安站,中和區,景安,TRTC,TRTC-O02,O02,24.99392,121.505114,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Major Zhonghe interchange area with MRT access.,
大坪林站,新店區,大坪林,TRTC,TRTC-G04,G04,24.98272,121.54134,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Representative Xindian MRT station with direct urban access.,
板橋站,板橋區,板橋,TRTC,TRTC-BL07,BL07,25.014098,121.462671,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Primary Banqiao multimodal hub represented by its MRT station coordinate.,
三重站,三重區,三重,TRTC,TRTC-O15,O15,25.05571,121.48422,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Representative Sanchong MRT station on the Zhonghe-Xinlu line.,
新莊站,新莊區,新莊,TRTC,TRTC-O18,O18,25.03608,121.45218,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Established MRT node in the older Xinzhuang urban core.,
蘆洲站,蘆洲區,蘆洲,TRTC,TRTC-O54,O54,25.09152,121.46471,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Terminal MRT node and representative Luzhou transit anchor.,
土城站,土城區,土城,TRTC,TRTC-BL03,BL03,24.97313,121.44432,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,"MRT station named for and located in Tucheng, suitable as the district's transit anchor.",
泰山站,泰山區,泰山站,TYMC,TYMC-A5,A5,25.05321,121.43943,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TYMC,2026-03-13T00:00:00+08:00,2026-08-22T11:39:07+08:00,"Taoyuan Airport MRT A5 station in Taishan, the clearest rail node for the district.",
林口站,林口區,林口站,TYMC,TYMC-A9,A9,25.0658,121.36134,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TYMC,2026-03-13T00:00:00+08:00,2026-08-22T11:39:07+08:00,Taoyuan Airport MRT A9 station and the main rail node for Linkou new town.,
淡水站,淡水區,淡水,TRTC,TRTC-R28,R28,25.167745,121.445805,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,Terminal MRT station and highest-recognition Tamsui transit node.,
三峽北大特區,三峽區,臺北大學正門,NWT_BUS_STATION,NWT3282,3282,24.94489,121.37368,https://tdx.transportdata.tw/api/basic/v2/Bus/Station/City/NewTaipei,,2026-08-22T14:24:43+08:00,"TDX bus station at NTPU main gate, representing the dense Sanxia Beida residential area with many bus routes.",17
樹林車站,樹林區,樹林,TRA,TRA-1040,1040,24.99123,121.42442,https://tdx.transportdata.tw/api/basic/v2/Rail/TRA/Station,,2026-08-22T06:48:58+08:00,TRA station and main rail anchor for Shulin.,
五股區公所,五股區,五股區公所(五股公有市場),NWT_BUS_STATION,NWT74479,74479,25.082744,121.4383484,https://tdx.transportdata.tw/api/basic/v2/Bus/Station/City/NewTaipei,,2026-08-22T14:24:43+08:00,"TDX bus station at Wugu District Office / public market, representing the district center.",5
鶯歌車站,鶯歌區,鶯歌,TRA,TRA-1070,1070,24.95455,121.35517,https://tdx.transportdata.tw/api/basic/v2/Rail/TRA/Station,,2026-08-22T06:48:58+08:00,TRA station and main rail anchor for Yingge.,
