candidate_name,district,lat,lon,destination,destination_lat,destination_lon,departure_time,commute_minutes,transfer_count,route_summary,query_status,error_message,route_start_time,route_end_time,travel_time_seconds,maas_response_file
汐止車站,汐止區,25.0679,121.66113,港墘站,25.08007,121.57516,2026-08-24T08:00:00,47.2,1,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘),success,,2026-08-24T07:58:42,2026-08-24T08:45:56,2834,data/interim/transport/tdx_maas_responses/xizhi_station_to_gangqian.json
頂溪站,永和區,25.01308,121.515398,港墘站,25.08007,121.57516,2026-08-24T08:00:00,51.7,1,Bus 內科通勤專車2 (捷運頂溪站->基湖站) | MRT 文湖線 (西湖->港墘),success,,2026-08-24T07:46:03,2026-08-24T08:37:45,3102,data/interim/transport/tdx_maas_responses/dingxi_station_to_gangqian.json
景安站,中和區,24.99392,121.505114,港墘站,25.08007,121.57516,2026-08-24T08:00:00,63.8,1,MRT 中和新蘆線 (景安->中山國小) | Bus 內湖幹線 (台泥大樓(馬偕醫院)->捷運港墘站(內湖高工)),success,,2026-08-24T08:01:11,2026-08-24T09:04:56,3825,data/interim/transport/tdx_maas_responses/jingan_station_to_gangqian.json
大坪林站,新店區,24.98272,121.54134,港墘站,25.08007,121.57516,2026-08-24T08:00:00,50.8,1,MRT 松山新店線 (大坪林->南京復興) | MRT 文湖線 (南京復興->港墘),success,,2026-08-24T07:56:57,2026-08-24T08:47:45,3048,data/interim/transport/tdx_maas_responses/dapinglin_station_to_gangqian.json
板橋站,板橋區,25.014098,121.462671,港墘站,25.08007,121.57516,2026-08-24T08:00:00,43.2,1,MRT 板南線 (板橋->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),success,,2026-08-24T08:00:35,2026-08-24T08:43:45,2590,data/interim/transport/tdx_maas_responses/banqiao_station_to_gangqian.json
三重站,三重區,25.05571,121.48422,港墘站,25.08007,121.57516,2026-08-24T08:00:00,51.7,1,MRT 中和新蘆線 (三重->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),success,,2026-08-24T07:58:46,2026-08-24T08:50:26,3100,data/interim/transport/tdx_maas_responses/sanchong_station_to_gangqian.json
新莊站,新莊區,25.03608,121.45218,港墘站,25.08007,121.57516,2026-08-24T08:00:00,61.3,1,MRT 中和新蘆線 (新莊->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),success,,2026-08-24T07:56:40,2026-08-24T08:57:56,3676,data/interim/transport/tdx_maas_responses/xinzhuang_station_to_gangqian.json
蘆洲站,蘆洲區,25.09152,121.46471,港墘站,25.08007,121.57516,2026-08-24T08:00:00,53.8,1,MRT 中和新蘆線 (蘆洲->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),success,,2026-08-24T07:56:39,2026-08-24T08:50:26,3227,data/interim/transport/tdx_maas_responses/luzhou_station_to_gangqian.json
土城站,土城區,24.97313,121.44432,港墘站,25.08007,121.57516,2026-08-24T08:00:00,53.6,1,MRT 板南線 (土城->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),success,,2026-08-24T08:00:10,2026-08-24T08:53:45,3215,data/interim/transport/tdx_maas_responses/tucheng_station_to_gangqian.json
泰山站,泰山區,25.05321,121.43943,港墘站,25.08007,121.57516,2026-08-24T08:00:00,68.6,1,Bus 786 (捷運泰山站->泰山國中) | Bus 946副 (高公局->瑞光港墘路口),success,,2026-08-24T08:00:39,2026-08-24T09:09:17,4118,data/interim/transport/tdx_maas_responses/taishan_station_to_gangqian.json
林口站,林口區,25.0658,121.36134,港墘站,25.08007,121.57516,2026-08-24T08:00:00,74.5,1,Bus 967副 (林口轉運站->松山機場) | MRT 文湖線 (松山機場->港墘),success,,2026-08-24T07:49:12,2026-08-24T09:03:45,4473,data/interim/transport/tdx_maas_responses/linkou_station_to_gangqian.json
淡水站,淡水區,25.167745,121.445805,港墘站,25.08007,121.57516,2026-08-24T08:00:00,67.8,1,MRT 淡水信義線 (淡水->圓山) | Bus 內科快線1 (捷運圓山站->瑞光港墘路口),success,,2026-08-24T07:58:58,2026-08-24T09:06:49,4071,data/interim/transport/tdx_maas_responses/tamsui_station_to_gangqian.json
三峽北大特區,三峽區,24.94489,121.37368,港墘站,25.08007,121.57516,2026-08-24T08:00:00,91.1,1,Bus 939 (臺北大學正門->敦化和平路口) | MRT 文湖線 (六張犁->港墘),success,,2026-08-24T08:02:40,2026-08-24T09:33:45,5465,data/interim/transport/tdx_maas_responses/sanxia_ntpu_main_gate_to_gangqian.json
樹林車站,樹林區,24.99123,121.42442,港墘站,25.08007,121.57516,2026-08-24T08:00:00,64.7,1,TRA 鶯歌-蘇澳新 (樹林->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),success,,2026-08-24T08:07:59,2026-08-24T09:12:40,3881,data/interim/transport/tdx_maas_responses/shulin_station_to_gangqian.json
五股區公所,五股區,25.082744,121.4383484,港墘站,25.08007,121.57516,2026-08-24T08:00:00,66.8,2,Bus 963 (五股區公所(五股公有市場)->捷運新埔站) | MRT 板南線 (新埔->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),success,,2026-08-24T07:59:00,2026-08-24T09:05:45,4005,data/interim/transport/tdx_maas_responses/wugu_district_office_to_gangqian.json
鶯歌車站,鶯歌區,24.95455,121.35517,港墘站,25.08007,121.57516,2026-08-24T08:00:00,71.7,1,TRA 新竹-基隆 (鶯歌->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),success,,2026-08-24T08:01:00,2026-08-24T09:12:40,4300,data/interim/transport/tdx_maas_responses/yingge_station_to_gangqian.json
