station_uid,station_id,station_name_zh,station_name_en,line_ids,line_names_zh,location_city,location_town,lat,lon,station_address_zh,station_address_en,src_update_time,tdx_update_time,source_url
TRTC-BL01,BL01,頂埔,Dingpu,BL,,新北市,土城區,24.95935100,121.41874400,236040新北市土城區中央路4段51之6號B3,236040新北市土城區中央路4段51之6號B3,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL02,BL02,永寧,Yongning,BL,,新北市,土城區,24.96682000,121.43613000,236036新北市土城區中央路3段105號B1,236036新北市土城區中央路3段105號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL03,BL03,土城,Tucheng,BL,,新北市,土城區,24.97313000,121.44432000,236017新北市土城區金城路1段105號B1,236017新北市土城區金城路1段105號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL04,BL04,海山,Haishan,BL,,新北市,土城區,24.98534800,121.44878700,236023新北市土城區海山路39號B2,236023新北市土城區海山路39號B2,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL05,BL05,亞東醫院,Far Eastern Hospital,BL,,新北市,板橋區,24.99828000,121.45246500,220056新北市板橋區南雅南路2段17號B1,220056新北市板橋區南雅南路2段17號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL06,BL06,府中,Fuzhong,BL,,新北市,板橋區,25.00846500,121.45927600,220052新北市板橋區縣民大道1段193號B1,220052新北市板橋區縣民大道1段193號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL07,BL07,板橋,Banqiao,BL,,新北市,板橋區,25.01409800,121.46267100,220073新北市板橋區站前路5號B1,220073新北市板橋區站前路5號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL08,BL08,新埔,Xinpu,BL,,新北市,板橋區,25.02373600,121.46836300,220030新北市板橋區民生路3段2號B1,220030新北市板橋區民生路3段2號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL09,BL09,江子翠,Jiangzicui,BL,,新北市,板橋區,25.03026500,121.47257000,220016新北市板橋區文化路2段296號B1,220016新北市板橋區文化路2段296號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL10,BL10,龍山寺,Longshan Temple,BL,,臺北市,萬華區,25.03528000,121.50032500,108015臺北市萬華區西園路1段153號,108015臺北市萬華區西園路1段153號,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL11,BL11,西門,Ximen,BL,,臺北市,中正區,25.04227400,121.50851100,100005臺北市中正區寶慶路32之1號B1,100005臺北市中正區寶慶路32之1號B1,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
TRTC-BL12,BL12,台北車站,Taipei Main Station,BL,,臺北市,中正區,25.04631000,121.51741500,100009臺北市中正區忠孝西路1段49號,100009臺北市中正區忠孝西路1段49號,2023-10-12T00:00:00+08:00,2023-10-17T00:00:00+08:00,https://tdx.transportdata.tw/api/basic/v2/Rail/Metro/Station/TRTC
