city,station_uid,station_id,station_name_zh,station_name_en,lat,lon,station_address_zh,station_address_en,bikes_capacity,service_type,src_update_time,tdx_update_time,source_url
taipei,TPE500101001,500101001,YouBike2.0_捷運科技大樓站,YouBike2.0_MRT Technology Bldg. Sta.,25.02605000,121.54360000,復興南路二段235號前,"No.235, Sec. 2, Fuxing S. Rd.",28,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101002,500101002,YouBike2.0_復興南路二段273號前,"YouBike2.0_No.273, Sec. 2, Fuxing S. Rd.",25.02565000,121.54357000,復興南路二段273號西側,"No.273, Sec. 2, Fuxing S. Rd. (West)",21,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101003,500101003,YouBike2.0_國北教大實小東側門,YouBike2.0_NTUE Experiment Elementary School (East),25.02429000,121.54124000,和平東路二段96巷7號,"No. 7, Ln. 96, Sec. 2, Heping E. Rd",28,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101004,500101004,YouBike2.0_和平公園東側,YouBike2.0_Heping Park (East),25.02351000,121.54282000,和平東路二段118巷33號,"No. 33, Ln. 118, Sec. 2, Heping E. Rd",11,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101005,500101005,YouBike2.0_辛亥復興路口西北側,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),25.02153000,121.54299000,復興南路二段368號,"No. 368, Sec. 2, Fuxing S. Rd.",16,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101006,500101006,YouBike2.0_復興南路二段280號前,"YouBike2.0_No. 280, Sec. 2, Fuxing S. Rd.",25.02429000,121.54328000,復興南路二段280號,"No. 280, Sec. 2, Fuxing S. Rd.",27,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101007,500101007,YouBike2.0_復興南路二段340巷口,"YouBike2.0_Ln. 340, Sec. 2, Fuxing S. Rd.",25.02253000,121.54326000,復興南路二段342號,"No. 342, Sec. 2, Fuxing S. Rd.",11,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101008,500101008,YouBike2.0_新生南路三段52號前,"YouBike2.0_No. 52, Sec. 3, Xinsheng S. Rd.",25.02112000,121.53407000,新生南路三段52號,"No. 52, Sec. 3, Xinsheng S. Rd.",17,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101009,500101009,YouBike2.0_新生南路三段66號前,"YouBike2.0_No. 66, Sec. 3, Xinsheng S. Rd.",25.01976000,121.53384000,新生南路三段66號東側,"No. 66, Sec. 3, Xinsheng S. Rd. (East)",16,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101010,500101010,YouBike2.0_新生南路三段82號前,"YouBike2.0_No. 82, Sec. 3, Xinsheng S. Rd.",25.01894000,121.53361000,新生南路三段82號,"No. 82, Sec. 3, Xinsheng S. Rd.",20,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101012,500101012,YouBike2.0_辛亥路一段30號前,"YouBike2.0_No. 30, Sec. 1, Xinhai Rd.",25.01986000,121.52982000,辛亥路一段30號,"No. 30, Sec. 1, Xinhai Rd.",8,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101013,500101013,YouBike2.0_和平復興路口西北側,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),25.02543000,121.54332000,復興南路二段236號,"No. 236, Sec. 2, Fuxing S. Rd.",9,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101014,500101014,YouBike2.0_羅斯福路三段311號前,"YouBike2.0_No. 311, Sec. 3, Roosevelt Rd.",25.01717000,121.53202000,羅斯福路三段311號,"No. 311, Sec. 3, Roosevelt Rd.",11,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101015,500101015,YouBike2.0_大安運動中心停車場,YouBike2.0_Taipei Da-an Sports Center Parking lot,25.02089000,121.54697000,敦南街76巷28號,"No. 28, Ln. 76, Dunnan St.",19,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101016,500101016,YouBike2.0_羅斯福路三段245號前,"YouBike2.0_No. 245, Sec. 3, Roosevelt Rd.",25.01927000,121.52989000,羅斯福路三段245號,"No. 245, Sec. 3, Roosevelt Rd.",8,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101018,500101018,YouBike2.0_溫州公園,YouBike2.0_Wenzhou Park,25.01895000,121.53156000,羅斯福路三段283巷11號,"No. 11, Ln. 283, Sec. 3, Roosevelt Rd.",11,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101019,500101019,YouBike2.0_和平臥龍街口,YouBike2.0_Heping Wolong St. Intersection,25.02446100,121.54670500,臥龍街1號,"No. 1, Wolong St.",24,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101020,500101020,YouBike2.0_溫州停車場,YouBike2.0_Wenzhou Parking Lot,25.02093000,121.53310000,新生南路三段54巷/溫州街口,"Ln. 54, Sec. 3, Xinsheng S. Rd. & Wenzhou St. Intersection",5,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101021,500101021,YouBike2.0_銘傳國小側門,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),25.01385000,121.53549000,羅斯福路四段21號旁天橋下,"No. 21, Sec. 4, Roosevelt Rd.",7,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101022,500101022,YouBike2.0_捷運公館站(2號出口),YouBike2.0_MRT Gongguan Sta. (Exit 2),25.01491000,121.53438000,捷運公館站(2號出口)外側,MRT Gongguan Sta. (Exit 2),99,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101023,500101023,YouBike2.0_第二學生活動中心,YouBike2.0_2nd Student Activity Center,25.01244000,121.53661000,羅斯福路四段107號(西南側),"No. 107, Sec. 4, Roosevelt Rd.(Southwest)",87,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
