district,youth_population_18_35,job_postings,job_openings,jobs_per_1000_youth,avg_salary,median_salary,top_job_category,top_occupation,top_industry,company_count,category_count,salary_valid_count,category_valid_count,work_type_valid_count,salary_sample_size,diversity_sample_size,stability_sample_size,salary_data_coverage,category_data_coverage,work_type_data_coverage,opportunity_score,salary_score,job_diversity_score,employment_stability_score,youth_employment_opportunity_index,index_coverage,index_available_dimensions,opportunity_reliability,salary_reliability,diversity_reliability,stability_reliability,index_reliability_score,index_reliability_level,baseline_index,scenario_b_index,scenario_c_index,scenario_d_index,baseline_rank,scenario_b_rank,scenario_c_rank,scenario_d_rank,rank_min,rank_max,rank_range,index_rank_stability,population_source_file,jobs_source_file,processed_at
板橋區,106473,368,1111.0,10.43457026664037,36378.002415458934,34500.0,旅遊／餐飲／休閒,家庭照顧服務員,,183,27,207,368,293,207,368,293,56.25,100.0,79.61956521739131,21.428571428571427,46.42857142857143,89.4520739531345,92.15017064846417,51.891511816467954,100.0,opportunity;salary;diversity;stability,100.0,86.875,100.0,93.88586956521739,95.80163043478261,High,51.891511816467954,47.2403366902398,54.391511816467954,60.979942029918895,22,23,22,23,22,23,1,96.42857142857143,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_220_板橋區.xml;taiwanjobs_241_三重區.xml;taiwanjobs_242_新莊區.xml,2026-08-31T02:57:11
三重區,78274,239,792.0,10.118302373712854,35145.19945355191,34000.0,醫療／美容／保健,家庭照顧服務員,,153,23,183,239,230,183,239,230,76.56903765690377,100.0,96.23430962343096,14.285714285714285,21.428571428571427,84.46095367181164,93.47826086956522,41.98535843622568,100.0,opportunity;salary;diversity;stability,99.90575787555207,92.97071129707113,99.94693318386516,98.87029288702928,98.02491154431604,High,41.98535843622568,38.119453609777956,42.699644150511396,52.605366846885104,26,26,26,26,26,26,0,100.0,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_241_三重區.xml,2026-08-31T02:57:11
中和區,78428,279,973.0,12.406283470189218,35497.81617647059,34157.0,技術／維修／操作,操作工,,185,22,204,279,255,204,279,255,73.11827956989248,100.0,91.39784946236558,39.285714285714285,28.57142857142857,84.82795568665324,95.29411764705881,54.11685164153233,100.0,opportunity;salary;diversity;stability,100.0,91.93548387096774,100.0,97.41935483870968,97.59677419354838,High,54.11685164153233,52.375453857199666,53.04542307010375,62.00721023540773,21,21,24,21,21,24,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_235_中和區.xml,2026-08-31T02:57:11
永和區,37979,88,273.0,7.188182943205456,35123.79661016949,33500.0,醫療／美容／保健,家庭照顧服務員,,64,19,59,88,80,59,88,80,67.04545454545455,100.0,90.9090909090909,7.142857142857142,8.928571428571429,75.62803766070869,91.25,33.90239324642745,100.0,opportunity;salary;diversity;stability,84.39510315172683,77.23704360366175,87.28645010769478,84.25719732965653,83.16317178259361,High,33.90239324642745,30.388848506249158,34.08096467499888,44.86698272678403,29,29,29,29,29,29,0,100.0,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_234_永和區.xml,2026-08-31T02:57:11
新莊區,89309,364,948.0,10.614831651905183,36950.610266159696,34965.0,技術／維修／操作,家庭照顧服務員,,184,24,263,364,316,263,364,316,72.25274725274726,100.0,86.81318681318682,32.142857142857146,62.5,84.88586409514086,95.56962025316456,59.794758714145715,100.0,opportunity;salary;diversity;stability,100.0,91.67582417582418,100.0,96.04395604395604,97.32554945054945,High,59.794758714145715,55.63975122367438,62.83047299986,66.72254042203231,19,19,16,19,16,19,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_208_金山區.xml;taiwanjobs_242_新莊區.xml;taiwanjobs_248_五股區.xml,2026-08-31T02:57:11
新店區,60157,298,868.0,14.428911016174345,36344.64492753623,35000.0,醫療／美容／保健,家庭照顧服務員,,157,26,207,298,280,207,298,280,69.46308724832215,100.0,93.95973154362416,57.14285714285714,82.14285714285714,83.59160145116157,92.5,73.98617743308945,100.0,opportunity;salary;diversity;stability,100.0,90.83892617449665,100.0,98.18791946308724,97.43791946308724,High,73.98617743308945,71.41374021767423,76.48617743308945,77.14890900677705,9,11,7,9,7,11,4,85.71428571428572,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_231_新店區.xml,2026-08-31T02:57:11
樹林區,38715,467,1702.0,43.96228851866202,36972.59213759214,35000.0,技術／維修／操作,家庭照顧服務員,,199,22,407,467,459,407,467,459,87.15203426124198,100.0,98.28693790149893,96.42857142857143,82.14285714285714,75.23424059589355,98.91067538126362,88.99059228351112,100.0,opportunity;salary;diversity;stability,100.0,96.1456102783726,100.0,99.48608137044968,98.9593147751606,High,88.99059228351112,90.76459453943072,87.56202085493968,87.70955011216364,1,1,2,2,1,2,1,96.42857142857143,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_238_樹林區.xml,2026-08-31T02:57:11
鶯歌區,20341,97,274.0,13.470330858856498,36039.31884057971,34965.0,技術／維修／操作,倉管人員,,45,21,69,97,92,69,97,92,71.1340206185567,100.0,94.84536082474226,50.0,62.5,78.49209061302926,100.0,66.32341812260586,100.0,opportunity;salary;diversity;stability,85.38015519727651,80.61429027417698,88.51588078807528,87.2295255482333,85.0932396373049,High,66.32341812260586,64.2738135919544,67.57341812260586,71.04762718390877,14,16,13,15,13,16,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_239_鶯歌區.xml,2026-08-31T02:57:11
三峽區,25677,114,349.0,13.591930521478366,36380.884146341465,34657.0,醫療／美容／保健,照顧服務員-,,69,22,82,114,96,82,114,96,71.9298245614035,100.0,84.21052631578947,53.57142857142857,57.14285714285714,81.11715836168702,96.875,66.46896738662312,100.0,opportunity;salary;diversity;stability,88.2467016631041,83.22965305083004,90.55743777081688,84.58515061740907,86.90535407472389,High,66.46896738662312,64.91310946853876,66.82611024376597,71.2101475085061,13,15,14,14,13,15,2,92.85714285714286,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_237_三峽區.xml,2026-08-31T02:57:11
淡水區,42708,140,553.0,12.948393743560926,35185.43396226415,34307.0,醫療／美容／保健,家庭照顧服務員,,82,22,106,140,124,106,140,124,75.71428571428571,100.0,88.57142857142857,42.857142857142854,32.142857142857146,88.90233616618663,92.74193548387096,56.8703289843894,100.0,opportunity;salary;diversity;stability,92.69467305531893,87.90858004329849,93.15879995688485,89.18198336558729,91.06407172916725,High,56.8703289843894,55.1037836046515,55.798900412960826,64.50480223234446,20,20,20,20,20,20,0,100.0,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_251_淡水區.xml,2026-08-31T02:57:11
