field1,percent2,percent3,percent4,percent5,percent6,percent7,percent8,percent9,percent10,percent11,percent12,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,percent27,percent28,percent29,percent30,percent31,percent32,percent33
"2000年 新北市0 計",3567896,218969,269313,267495,316863,335945,292197,311059,333132,318745,282496,176831,118975,98688,76642,68621,45466,22691,10099,2825,665,179,755777,21.18,2584931,72.45,227188,6.37,8.79,29.24,38.03,30.06
"2000年 新北市0 男",1801773,113666,140251,138201,163400,172462,148509,153265,161325,155039,138714,87638,59004,46970,39360,39759,25760,12067,4837,1197,267,82,392118,21.76,1286326,71.39,123329,6.84,9.59,30.48,40.07,31.45
"2000年 新北市0 女",1766123,105303,129062,129294,153463,163483,143688,157794,171807,163706,143782,89193,59971,51718,37282,28862,19706,10624,5262,1628,398,97,363659,20.59,1298605,73.53,103859,5.88,8,28,36,28.56
"2000年 板橋區0 計",529059,28797,36862,41469,51865,55497,44629,40746,43602,47047,45340,29241,18772,14403,10617,9387,6132,2936,1262,356,81,18,107128,20.25,391142,73.93,30789,5.82,7.87,27.39,35.26,28.74
"2000年 板橋區0 男",266724,14922,19236,21458,26852,28884,22969,20241,20259,22000,21784,14434,9567,6881,5450,5562,3661,1659,675,183,38,9,55616,20.85,193871,72.69,17237,6.46,8.89,28.69,37.58,30.99
"2000年 板橋區0 女",262335,13875,17626,20011,25013,26613,21660,20505,23343,25047,23556,14807,9205,7522,5167,3825,2471,1277,587,173,43,9,51512,19.64,197271,75.2,13552,5.17,6.87,26.11,32.98,26.31
"2000年 三重區0 計",382266,21984,27082,28292,35775,39700,32972,31616,33090,33156,30112,19404,13778,12370,9233,6369,4112,1959,915,257,59,31,77358,20.24,281973,73.76,22935,6,8.13,27.43,35.57,29.65
"2000年 三重區0 男",192934,11454,14107,14533,18466,20271,17039,15889,16006,16114,14837,9688,7042,6013,4610,3329,2071,930,400,98,23,14,40094,20.78,141365,73.27,11475,5.95,8.12,28.36,36.48,28.62
"2000年 三重區0 女",189332,10530,12975,13759,17309,19429,15933,15727,17084,17042,15275,9716,6736,6357,4623,3040,2041,1029,515,159,36,17,37264,19.68,140608,74.27,11460,6.05,8.15,26.5,34.65,30.75
"2000年 中和區0 計",398123,22126,25693,24874,34872,38967,33814,34161,35469,36666,35339,22944,14327,10693,8764,8876,6061,2892,1219,281,64,21,72693,18.26,297252,74.66,28178,7.08,9.48,24.46,33.93,38.76
