target_domain_evidence_rank,candidate_generation_rank,source_occupation_code,source_occupation_name,target_domain,target_occupation_code,target_occupation_name,target_occupation_description,candidate_generation_method,target_domain_primary_signal,target_domain_retrieval_score,target_domain_strong_hits,target_domain_technology_hits,target_domain_healthcare_hits,target_domain_concept_tags,candidate_generation_evidence,skill_similarity,transferable_skill_coverage,target_skill_gap,target_domain_technology_coverage,target_domain_technology_gap,transition_span,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,target_master_plus_share,target_doctoral_professional_share,education_barrier,education_barrier_notes,training_experience_barrier,training_experience_barrier_notes,credential_barrier,professional_certification_importance,same_major_group,same_occupation_family,onet_related_support,taxonomy_distance_level,taiwanjobs_occupation,matched_titles,mapping_method,mapping_score,mapping_confidence,manual_review_needed,matched_job_count,total_demand_persons,salary_lower_median,salary_upper_median,salary_basis,education_requirement_distribution,experience_requirement_distribution,main_job_locations,market_validation,shared_top_skills,missing_skills,mobility_value_signal,feasibility_flag,feasibility_level,feasibility_notes,hidden_path_candidate
1,33,29-1141.00,Registered Nurses,Technology / AI,11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",deterministic_onet_target_domain_keyword_retrieval_v1,explicit_health_technology,46.8,clinical data; medical records,analysis; data; information; software; statistics; systems; technologies; web,clinical; device; health; medical; medicine; patient; records,clinical_health_informatics; health_data; software_application,"title: strong=; tech=; health=clinical | description: strong=clinical data; tech=data; health=clinical | tasks: strong=medical records; tech=data,information; health=clinical,device,health,medical,patient,records | skill_knowledge: strong=; tech=; health=medicine | software: strong=clinical data; tech=analysis,data,software,statistics,systems,technologies; health=clinical,medical,patient",0.985976,0.974813,0.088704,0.96,0.12,High skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,6.1,1.27,low,no major upward education signal,low,related work experience +0.8 categories,low,2.65,no,no,no,Distant category,系統分析師; 檔案資料管理人員; 市場調查/市調分析; 統計精算人員; 業務助理; 診所助理,校務研究辦公室 誠徵資料分析專員(碩士級); 檔案管理人員【115 年度公文書發文寄送暨檔案管理業務勞務採購案】; 行政助理＋文編助理; 市場研究分析員; 約聘研究員; 企劃暨精算部-辦事員; 台灣區(台北)業務部助理; 醫療助理,deterministic_keyword_field_weight_v1,0.77,Medium,yes,8,14,35000,45500,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:3; 碩士:2; 高中:2; 專科:1,無:7; 1年以上:1,台北市中山區:3; 台北市大安區:1; 台北市不限:1; 台北市信義區:1; 台北市松山區:1; 台北市中正區:1,Moderate,Customer and Personal Service (knowledge: 4.27); Active Listening (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Coordination (transferable_skill: 3.88); Speaking (essential_skill: 3.88); English Language (knowledge: 3.77); Critical Thinking (essential_skill: 3.75); Writing (essential_skill: 3.75),"Management of Personnel Resources (transferable_skill: target 3.50, RN 2.62)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,candidate,Adjacent candidate,Target-domain candidate with high nursing skill reuse and no exclusionary preparation barrier.,yes
2,4,29-1141.00,Registered Nurses,Technology / AI,15-1299.02,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,95.5,database; information systems; technical support; user support,analysis; computer; data; database; digital; information; programming; software; statistical; support; systems; technology; web,,software_application; technology_support; core_technology,"title: strong=information systems; tech=information,systems; health= | description: strong=information systems,database,user support; tech=data,database,information,systems,support; health= | tasks: strong=information systems,database,technical support; tech=analysis,computer,data,database,digital,information; health= | skill_knowledge: strong=; tech=computer,technology; health= | software: strong=; tech=computer,data,information,software,statistical,systems; health=",0.947701,0.89514,0.37,0.616976,1.3425,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,low,related work experience +1.3 categories,low,2.8,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Reading Comprehension (essential_skill: 3.88); Critical Thinking (essential_skill: 3.62); English Language (knowledge: 3.53); Active Listening (essential_skill: 3.50); Complex Problem Solving (transferable_skill: 3.50); Monitoring (essential_skill: 3.38); Speaking (essential_skill: 3.38); Writing (essential_skill: 3.38),"Geography (knowledge: target 4.40, RN 1.21)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
3,8,29-1141.00,Registered Nurses,Technology / AI,15-1242.00,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,87.2,computer systems; database; technical support,analysis; computer; data; database; information; network; product; programming; security; software; support; systems; technologies; technology; web,records,software_application; technology_support; core_technology,"title: strong=database; tech=data,database; health= | description: strong=database; tech=computer,data,database,security,systems; health= | tasks: strong=computer systems,database,technical support; tech=computer,data,database,information,security,software; health=records | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health= | software: strong=; tech=analysis,computer,data,network,programming,software; health=",0.954011,0.890551,0.385694,0.714423,0.987778,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,1.29,0.0,low,no major upward education signal,medium,related work experience +1.8 categories,low,2.28,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,English Language (knowledge: 3.96); Customer and Personal Service (knowledge: 3.93); Critical Thinking (essential_skill: 3.88); Judgment and Decision Making (transferable_skill: 3.75); Active Listening (essential_skill: 3.75); Reading Comprehension (essential_skill: 3.75); Complex Problem Solving (transferable_skill: 3.50); Active Learning (essential_skill: 3.50),"Computers and Electronics (knowledge: target 4.79, RN 2.59); Engineering and Technology (knowledge: target 3.51, RN 1.51)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
4,10,29-1141.00,Registered Nurses,Technology / AI,15-1243.00,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,86.0,database; technical support,analysis; computer; data; database; information; network; product; programming; security; software; support; systems; technologies; technology; web,,software_application; technology_support; core_technology,"title: strong=database; tech=data,database; health= | description: strong=database; tech=data,database,network,programming,security,systems; health= | tasks: strong=database,technical support; tech=computer,data,database,information,security,software; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health= | software: strong=; tech=computer,data,information,network,programming,software; health=",0.94182,0.828137,0.62203,0.660404,1.193,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,14.29,0.0,low,weighted education category +1.1,medium,related work experience +2.8 categories,low,2.52,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Reading Comprehension (essential_skill: 3.88); Judgment and Decision Making (transferable_skill: 3.88); Critical Thinking (essential_skill: 3.88); Speaking (essential_skill: 3.50); Complex Problem Solving (transferable_skill: 3.50); Active Listening (essential_skill: 3.50); Mathematics (knowledge: 3.43); Active Learning (essential_skill: 3.25),"Engineering and Technology (knowledge: target 3.95, RN 1.51); Design (knowledge: target 3.71, RN 1.29)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
5,11,29-1141.00,Registered Nurses,Technology / AI,15-1244.00,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,79.7,computer systems; technical support,analysis; computer; data; information; network; programming; security; software; support; systems; technologies; web,records,software_application; technology_support; core_technology,"title: strong=computer systems; tech=computer,network,systems; health= | description: strong=; tech=analysis,data,network,software,systems; health= | tasks: strong=computer systems,technical support; tech=computer,data,information,network,security,software; health=records | skill_knowledge: strong=; tech=analysis,computer,programming,systems; health= | software: strong=; tech=analysis,data,network,programming,software,systems; health=",0.940895,0.857568,0.496972,0.607831,1.446667,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,medium,related work experience +1.6 categories,medium,3.77,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Active Listening (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Judgment and Decision Making (transferable_skill: 3.88); Critical Thinking (essential_skill: 3.88); Monitoring (essential_skill: 3.75); Complex Problem Solving (transferable_skill: 3.50); Customer and Personal Service (knowledge: 3.37); English Language (knowledge: 3.37),"Troubleshooting (transferable_skill: target 4.00, RN 1.88)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
6,12,29-1141.00,Registered Nurses,Technology / AI,11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",deterministic_onet_target_domain_keyword_retrieval_v1,technology_title,77.0,information systems; technical support,analysis; analytics; computer; data; information; network; programming; security; software; support; systems; technology; web,,software_application; technology_support,"title: strong=information systems; tech=computer,information,systems; health= | description: strong=information systems; tech=analysis,computer,data,information,programming,systems; health= | tasks: strong=technical support; tech=computer,data,information,security,software,systems; health= | skill_knowledge: strong=; tech=analysis,computer,systems,technology; health= | software: strong=; tech=analytics,data,information,network,programming,security; health=",0.956653,0.887844,0.399772,0.728222,0.967143,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,14.36,0.0,low,no major upward education signal,medium,related work experience +3.4 categories,low,,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Customer and Personal Service (knowledge: 4.05); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Speaking (essential_skill: 3.88); Judgment and Decision Making (transferable_skill: 3.88); Writing (essential_skill: 3.75); Coordination (transferable_skill: 3.75),"Computers and Electronics (knowledge: target 4.77, RN 2.59); Engineering and Technology (knowledge: target 3.50, RN 1.51)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
7,14,29-1141.00,Registered Nurses,Technology / AI,15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,75.5,computer systems,analysis; computer; data; information; network; product; programming; software; systems; technology; web,,software_application; technology_support; core_technology,"title: strong=computer systems; tech=computer,systems; health= | description: strong=computer systems; tech=computer,data,network,software,systems; health= | tasks: strong=computer systems; tech=analysis,computer,data,information,programming,software; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems; health= | software: strong=; tech=analysis,data,network,programming,software,web; health=",0.955789,0.916917,0.285658,0.75122,0.85,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Associate's Degree or other 2-year degree,1.42,0.0,low,no major upward education signal,low,related work experience +1.0 categories,low,2.22,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Speaking (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Active Listening (essential_skill: 3.75); Critical Thinking (essential_skill: 3.75); Customer and Personal Service (knowledge: 3.70); Judgment and Decision Making (transferable_skill: 3.62); Active Learning (essential_skill: 3.50); English Language (knowledge: 3.48),"Computers and Electronics (knowledge: target 4.63, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
8,15,29-1141.00,Registered Nurses,Technology / AI,15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,75.0,cybersecurity; information systems; technical support,analysis; computer; data; digital; information; network; product; programming; security; software; support; systems; technology; web,,software_application; technology_support; core_technology,"title: strong=; tech=information,security; health= | description: strong=; tech=computer,digital,information,network,security,systems; health= | tasks: strong=cybersecurity,technical support; tech=analysis,computer,data,information,network,security; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health= | software: strong=information systems; tech=analysis,data,information,network,security,software; health=",0.949037,0.864565,0.486762,0.665479,1.207143,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,5.26,0.0,low,no major upward education signal,medium,related work experience +1.7 categories,medium,3.79,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Critical Thinking (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Active Listening (essential_skill: 3.88); Writing (essential_skill: 3.62); Monitoring (essential_skill: 3.62); English Language (knowledge: 3.53); Speaking (essential_skill: 3.50); Judgment and Decision Making (transferable_skill: 3.25),"Engineering and Technology (knowledge: target 4.00, RN 1.51); Computers and Electronics (knowledge: target 4.63, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
9,16,29-1141.00,Registered Nurses,Technology / AI,15-1252.00,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,73.5,database; software developer,algorithm; analysis; computer; data; database; information; network; programming; security; software; systems; technology; web,,software_application; ai_data; technology_support; core_technology,"title: strong=software developer; tech=software; health= | description: strong=database; tech=analysis,computer,data,database,network,software; health= | tasks: strong=; tech=analysis,data,information,programming,security,software; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health= | software: strong=; tech=analysis,algorithm,data,information,network,programming; health=",0.946572,0.883991,0.414259,0.678281,1.187143,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,4.52,0.0,low,no major upward education signal,medium,related work experience +2.9 categories,low,2.55,no,no,no,Distant category,MIS程式設計師; 軟體相關專案管理師; 通訊系統工程師; 助理工程師; 其他資訊專業人員; 軟(韌)體設計工程師,MIS-ERP軟體工程師(A); 業務部專案; 助理解決方案架構師 (SA); 資訊處-程式設計師; 【無塵室自動化事業部】軟體技術支援助理工程師(台北)■無經驗可(此為現場徵才活動職缺); 程式語言講師; 網頁工程師; MIS程式設計師-台北市,deterministic_keyword_field_weight_v1,1.0,High,no,55,105,35000,40000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:23; 大學:17; 高職:7; 高中:6; 碩士:1; 不拘:1,無:30; 1年以上:12; 2年以上:8; 3年以上:2; 5年以上:2; 4年以上:1,台北市內湖區:12; 台北市大安區:11; 台北市信義區:9; 台北市中正區:4; 台北市不限:4; 台北市北投區:3; 台北市松山區:3; 台北市中山區:3,Strong,Critical Thinking (essential_skill: 3.88); Judgment and Decision Making (transferable_skill: 3.62); Customer and Personal Service (knowledge: 3.56); Reading Comprehension (essential_skill: 3.50); Active Learning (essential_skill: 3.50); Mathematics (knowledge: 3.43); Complex Problem Solving (transferable_skill: 3.38); Active Listening (essential_skill: 3.38),"Programming (transferable_skill: target 4.00, RN 1.62); Computers and Electronics (knowledge: target 4.75, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
10,17,29-1141.00,Registered Nurses,Technology / AI,15-1299.08,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,70.0,computer systems; information systems; software developer,analysis; computer; data; information; network; programming; security; software; support; systems; technologies; technology; web,,software_application; technology_support; core_technology,"title: strong=computer systems; tech=computer,systems; health= | description: strong=; tech=network,systems; health= | tasks: strong=software developer,computer systems,information systems; tech=analysis,computer,data,information,network,security; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health= | software: strong=; tech=analysis,computer,data,network,programming,software; health=",0.949864,0.86097,0.520492,0.66839,1.219,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,Post-Secondary Certificate,4.55,0.0,low,no major upward education signal,low,related work experience +1.3 categories,low,3.55,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,English Language (knowledge: 4.09); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Speaking (essential_skill: 3.88); Customer and Personal Service (knowledge: 3.86); Writing (essential_skill: 3.75); Active Learning (essential_skill: 3.50),"Computers and Electronics (knowledge: target 4.91, RN 2.59); Engineering and Technology (knowledge: target 3.77, RN 1.51); Programming (transferable_skill: target 3.50, RN 1.62); Operations Analysis (transferable_skill: target 3.75, RN 2.00); Telecommunications (knowledge: target 3.95, RN 2.21)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
