rank,source_occupation_code,source_occupation_name,target_occupation_code,target_occupation_name,onet_skill_similarity,skill_overlap_score,shared_top_skills,missing_skills,onet_related_support,onet_related_tier,onet_related_index
1,29-1141.00,Registered Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,0.995663,0.927269,Service Orientation (transferable_skill: 4.00); Coordination (transferable_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Customer and Personal Service (knowledge: 3.99); English Language (knowledge: 3.90); Speaking (essential_skill: 3.88); Active Listening (essential_skill: 3.88); Monitoring (essential_skill: 3.75),,yes,Primary-Short,5
2,29-1141.00,Registered Nurses,29-1141.01,Acute Care Nurses,0.995593,0.977893,Medicine and Dentistry (knowledge: 4.36); Customer and Personal Service (knowledge: 4.30); English Language (knowledge: 4.05); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Coordination (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00),"Education and Training (knowledge: target 4.29, RN 3.20)",yes,Primary-Short,1
3,29-1141.00,Registered Nurses,29-1161.00,Nurse Midwives,0.994088,0.96065,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.33); Customer and Personal Service (knowledge: 4.19); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.06, RN 3.02); Sociology and Anthropology (knowledge: target 3.81, RN 2.96)",yes,Primary-Long,6
4,29-1141.00,Registered Nurses,29-9091.00,Athletic Trainers,0.993835,0.937383,Customer and Personal Service (knowledge: 4.36); Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.17); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Speaking (essential_skill: 3.88); Critical Thinking (essential_skill: 3.88); Reading Comprehension (essential_skill: 3.75),,no,,
5,29-1141.00,Registered Nurses,29-1141.03,Critical Care Nurses,0.993619,0.969714,Medicine and Dentistry (knowledge: 4.36); Customer and Personal Service (knowledge: 4.21); English Language (knowledge: 4.11); Psychology (knowledge: 4.11); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00),,yes,Primary-Short,3
6,29-1141.00,Registered Nurses,29-1128.00,Exercise Physiologists,0.992869,0.953023,Medicine and Dentistry (knowledge: 4.17); English Language (knowledge: 4.16); Customer and Personal Service (knowledge: 4.16); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Service Orientation (transferable_skill: 3.88); Social Perceptiveness (transferable_skill: 3.88),"Biology (knowledge: target 4.04, RN 3.02); Instructing (transferable_skill: target 4.12, RN 3.25)",no,,
7,29-1141.00,Registered Nurses,29-9099.01,Midwives,0.992447,0.926992,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.16); Social Perceptiveness (transferable_skill: 4.12); Critical Thinking (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.75); Speaking (essential_skill: 3.75); Service Orientation (transferable_skill: 3.75),,no,,
8,29-1141.00,Registered Nurses,29-1229.04,Physical Medicine and Rehabilitation Physicians,0.992374,0.952249,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.12); Psychology (knowledge: 4.04); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Biology (knowledge: target 3.88, RN 3.02)",no,,
9,29-1141.00,Registered Nurses,29-1171.00,Nurse Practitioners,0.992109,0.968774,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.17); Customer and Personal Service (knowledge: 4.13); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.22, RN 3.02)",yes,Primary-Short,2
10,29-1141.00,Registered Nurses,29-1229.06,Sports Medicine Physicians,0.991456,0.95645,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.06); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88),"Biology (knowledge: target 4.31, RN 3.02); Education and Training (knowledge: target 4.06, RN 3.20); Systems Evaluation (transferable_skill: target 3.75, RN 3.00)",no,,
11,29-1141.00,Registered Nurses,29-1141.04,Clinical Nurse Specialists,0.991224,0.962805,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.29); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Education and Training (knowledge: target 4.43, RN 3.20)",yes,Primary-Short,4
12,29-1141.00,Registered Nurses,31-9092.00,Medical Assistants,0.991193,0.910468,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.33); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.00); Speaking (essential_skill: 3.88); Active Listening (essential_skill: 3.88); Reading Comprehension (essential_skill: 3.75); Critical Thinking (essential_skill: 3.62),"Computers and Electronics (knowledge: target 3.79, RN 2.59)",no,,
13,29-1141.00,Registered Nurses,29-1214.00,Emergency Medicine Physicians,0.99109,0.956394,Psychology (knowledge: 4.43); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Coordination (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00),"Biology (knowledge: target 4.45, RN 3.02)",yes,Supplemental,12
14,29-1141.00,Registered Nurses,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",0.99091,0.964021,Psychology (knowledge: 4.49); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.94); Judgment and Decision Making (transferable_skill: 3.88); Reading Comprehension (essential_skill: 3.88),"Education and Training (knowledge: target 4.54, RN 3.20); Biology (knowledge: target 4.12, RN 3.02); Computers and Electronics (knowledge: target 3.60, RN 2.59); Instructing (transferable_skill: target 4.25, RN 3.25)",no,,
15,29-1141.00,Registered Nurses,29-1241.00,"Ophthalmologists, Except Pediatric",0.990782,0.960705,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Customer and Personal Service (knowledge: 4.08); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),,no,,
16,29-1141.00,Registered Nurses,29-1229.02,Hospitalists,0.990779,0.950868,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.29); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.62, RN 3.02); Education and Training (knowledge: target 4.00, RN 3.20)",yes,Supplemental,20
17,29-1141.00,Registered Nurses,29-1123.00,Physical Therapists,0.990443,0.952913,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.11); Service Orientation (transferable_skill: 4.00); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00),,no,,
18,29-1141.00,Registered Nurses,19-3039.02,Neuropsychologists,0.990046,0.940754,Psychology (knowledge: 4.58); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88); Judgment and Decision Making (transferable_skill: 3.88),"Therapy and Counseling (knowledge: target 4.56, RN 3.43); Education and Training (knowledge: target 4.12, RN 3.20)",no,,
