v2_rank,source_occupation_code,source_occupation_name,target_occupation_code,target_occupation_name,candidate_pool_source,v1_skill_similarity_rank,skill_similarity,transferable_skill_coverage,target_skill_gap,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,target_master_plus_share,target_doctoral_professional_share,education_barrier,education_barrier_notes,source_related_work_experience,target_related_work_experience,target_on_the_job_training,training_experience_barrier,training_experience_barrier_notes,credential_barrier,professional_certification_importance,apprenticeship_importance,shared_top_skills,missing_skills,feasibility_flag,feasibility_level,feasibility_notes
1,29-1141.00,Registered Nurses,29-2061.00,Licensed Practical and Licensed Vocational Nurses,focus_check; onet_related_occupation; skill_similarity_top20,1,0.995663,0.991187,0.031667,yes,Primary-Short,5,4,3,-1,Bachelor's Degree,Some College Courses,0.0,0.0,low,no major upward education signal,"Over 1 year, up to and including 2 years","Over 1 year, up to and including 2 years","Anything beyond short demonstration, up to and including 1 month",low,no major upward training/experience signal,medium,4.17,3.02,Service Orientation (transferable_skill: 4.00); Coordination (transferable_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Customer and Personal Service (knowledge: 3.99); English Language (knowledge: 3.90); Speaking (essential_skill: 3.88); Active Listening (essential_skill: 3.88); Monitoring (essential_skill: 3.75),,candidate,Adjacent candidate,High directional skill coverage with low-to-medium preparation barrier.
2,29-1141.00,Registered Nurses,29-1141.01,Acute Care Nurses,onet_related_occupation; skill_similarity_top20,2,0.995593,0.942854,0.21159,yes,Primary-Short,1,4,4,0,Bachelor's Degree,Bachelor's Degree,14.28,4.76,low,weighted education category +1.3,"Over 1 year, up to and including 2 years",None,"Over 1 month, up to and including 3 months",low,no major upward training/experience signal,low,3.62,3.38,Medicine and Dentistry (knowledge: 4.36); Customer and Personal Service (knowledge: 4.30); English Language (knowledge: 4.05); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Coordination (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00),"Education and Training (knowledge: target 4.29, RN 3.20)",candidate,Adjacent candidate,High directional skill coverage with low-to-medium preparation barrier.
3,29-1141.00,Registered Nurses,29-1141.03,Critical Care Nurses,onet_related_occupation; skill_similarity_top20,5,0.993619,0.946571,0.195859,yes,Primary-Short,3,4,4,0,Bachelor's Degree,Bachelor's Degree,14.28,0.0,low,no major upward education signal,"Over 1 year, up to and including 2 years",None,"Over 3 months, up to and including 6 months",low,no major upward training/experience signal,low,3.36,3.11,Medicine and Dentistry (knowledge: 4.36); Customer and Personal Service (knowledge: 4.21); English Language (knowledge: 4.11); Psychology (knowledge: 4.11); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00),,candidate,Adjacent candidate,High directional skill coverage with low-to-medium preparation barrier.
4,29-1141.00,Registered Nurses,31-9092.00,Medical Assistants,focus_check; skill_similarity_top20,12,0.991193,0.969213,0.120417,no,,,4,3,-1,Bachelor's Degree,Post-Secondary Certificate,0.0,0.0,low,no major upward education signal,"Over 1 year, up to and including 2 years","Over 6 months, up to and including 1 year","Over 1 month, up to and including 3 months",low,no major upward training/experience signal,low,2.95,2.49,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.33); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.00); Speaking (essential_skill: 3.88); Active Listening (essential_skill: 3.88); Reading Comprehension (essential_skill: 3.75); Critical Thinking (essential_skill: 3.62),"Computers and Electronics (knowledge: target 3.79, RN 2.59)",candidate,Adjacent candidate,High directional skill coverage with low-to-medium preparation barrier.
5,29-1141.00,Registered Nurses,31-1131.00,Nursing Assistants,onet_related_occupation,,0.986414,0.998548,0.004762,yes,Primary-Long,10,4,3,-1,Bachelor's Degree,High School Diploma or the equivalent (such as a GED),6.55,3.79,low,no major upward education signal,"Over 1 year, up to and including 2 years",None,"Anything beyond short demonstration, up to and including 1 month",low,no major upward training/experience signal,medium,3.76,2.74,Service Orientation (transferable_skill: 4.00); Customer and Personal Service (knowledge: 3.92); Social Perceptiveness (transferable_skill: 3.62); Active Listening (essential_skill: 3.62); Administration and Management (knowledge: 3.29); English Language (knowledge: 3.27); Monitoring (essential_skill: 3.25); Medicine and Dentistry (knowledge: 3.15),,candidate,Adjacent candidate,High directional skill coverage with low-to-medium preparation barrier.
6,29-1141.00,Registered Nurses,29-1161.00,Nurse Midwives,onet_related_occupation; skill_similarity_top20,3,0.994088,0.948063,0.201185,yes,Primary-Long,6,4,5,1,Bachelor's Degree,Master's Degree,96.87,0.0,high,weighted education category +3.0; master's-or-higher share 96.9%; professional certification importance 4.82,"Over 1 year, up to and including 2 years",None,"Over 1 month, up to and including 3 months",low,no major upward training/experience signal,high,4.82,3.3,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.33); Customer and Personal Service (knowledge: 4.19); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.06, RN 3.02); Sociology and Anthropology (knowledge: target 3.81, RN 2.96)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible."
7,29-1141.00,Registered Nurses,29-9091.00,Athletic Trainers,focus_check; skill_similarity_top20,4,0.993835,0.975461,0.089,no,,,4,5,1,Bachelor's Degree,Master's Degree,54.33,0.0,high,weighted education category +1.6; master's-or-higher share 54.3%; professional certification importance 4.48,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years",None or short demonstration,low,no major upward training/experience signal,medium,4.48,3.46,Customer and Personal Service (knowledge: 4.36); Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.17); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Speaking (essential_skill: 3.88); Critical Thinking (essential_skill: 3.88); Reading Comprehension (essential_skill: 3.75),,review,Bridge candidate,Skill-similar non-obvious option with manageable directional skill gap; needs domain validation.
8,29-1141.00,Registered Nurses,29-1128.00,Exercise Physiologists,focus_check; skill_similarity_top20,6,0.992869,0.961793,0.136705,no,,,4,4,0,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,"Over 1 year, up to and including 2 years","Over 1 year, up to and including 2 years","Over 3 months, up to and including 6 months",low,no major upward training/experience signal,medium,4.48,3.44,Medicine and Dentistry (knowledge: 4.17); English Language (knowledge: 4.16); Customer and Personal Service (knowledge: 4.16); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Service Orientation (transferable_skill: 3.88); Social Perceptiveness (transferable_skill: 3.88),"Biology (knowledge: target 4.04, RN 3.02); Instructing (transferable_skill: target 4.12, RN 3.25)",review,Bridge candidate,Skill-similar non-obvious option with manageable directional skill gap; needs domain validation.
9,29-1141.00,Registered Nurses,29-9099.01,Midwives,skill_similarity_top20,7,0.992447,0.977436,0.084417,no,,,4,5,1,Bachelor's Degree,Post-Secondary Certificate,30.3,0.0,low,professional certification importance 4.91,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 3 months, up to and including 6 months",medium,apprenticeship importance 4.60,high,4.91,4.6,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.16); Social Perceptiveness (transferable_skill: 4.12); Critical Thinking (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.75); Speaking (essential_skill: 3.75); Service Orientation (transferable_skill: 3.75),,review,Bridge candidate,"Skill-similar option with a credential barrier; keep as bridge candidate, not adjacent."
10,29-1141.00,Registered Nurses,29-1171.00,Nurse Practitioners,onet_related_occupation; skill_similarity_top20,9,0.992109,0.915803,0.308222,yes,Primary-Short,2,4,5,1,Bachelor's Degree,Master's Degree,95.66,30.44,high,weighted education category +3.7; master's-or-higher share 95.7%; professional certification importance 4.78,"Over 1 year, up to and including 2 years","Over 1 year, up to and including 2 years","Over 3 months, up to and including 6 months",low,no major upward training/experience signal,high,4.78,3.45,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.17); Customer and Personal Service (knowledge: 4.13); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.22, RN 3.02)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible."
