district,job_postings,hiring_count,company_count,median_salary,top_job_category,rental_count,median_rent,average_rent,median_rent_per_area,youth_20_34,estimated_youth_18_35,youth_statistical_area_count,youth_data_period,opportunity_housing_type,district_diagnosis,diagnosis_summary,policy_check,diagnosis_evidence,diagnosis_evidence_level
板橋區,281,951,147,34800.0,旅遊／餐飲／休閒,5148.0,20000.0,22749.53982128982,306.44765873988723,94014,111407,192,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約111,407人（推估）；公開求才951人；租金中位數NT$20,000；租賃登錄5,148件",較高
三重區,230,839,150,33500.0,醫療／美容／保健,4614.0,21500.0,22754.610533159946,321.4198086202666,69699,81355,130,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約81,355人（推估）；公開求才839人；租金中位數NT$21,500；租賃登錄4,614件",較高
中和區,269,970,186,34500.0,技術／維修／操作,4936.0,21500.0,24018.260332252838,295.4975292064298,69886,81735,146,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約81,735人（推估）；公開求才970人；租金中位數NT$21,500；租賃登錄4,936件",較高
永和區,76,257,56,33500.0,醫療／美容／保健,2146.0,22000.0,23215.297297297297,331.81963511732806,34029,40013,81,113Y12M,高負擔低機會型,青年集中雙重待查型,設籍青年相對較多，但公開求才相對較少且租金中位數相對較高。,優先追查職住落差、青年租金負擔及跨區通勤成本。,"設籍青年約40,013人（推估）；公開求才257人；租金中位數NT$22,000；租賃登錄2,146件",較高
新莊區,309,833,159,34500.0,技術／維修／操作,3821.0,21000.0,24123.78094739597,253.7555826228177,79957,94044,141,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約94,044人（推估）；公開求才833人；租金中位數NT$21,000；租賃登錄3,821件",較高
新店區,275,769,140,35000.0,醫療／美容／保健,2825.0,22500.0,25354.501592920355,273.2987154960371,53767,62182,101,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約62,182人（推估）；公開求才769人；租金中位數NT$22,500；租賃登錄2,825件",較高
樹林區,433,1624,189,35000.0,技術／維修／操作,1152.0,19000.0,22110.761284722223,194.34548261637167,35196,41146,58,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約41,146人（推估）；公開求才1,624人；租金中位數NT$19,000；租賃登錄1,152件",較高
鶯歌區,105,371,54,34666.5,技術／維修／操作,1006.0,17500.0,17780.9324055666,165.1278912325497,17950,20976,31,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約20,976人（推估）；公開求才371人；租金中位數NT$17,500；租賃登錄1,006件",較高
三峽區,98,375,61,34416.0,醫療／美容／保健,1643.0,15000.0,16407.777845404747,191.47084421235857,22505,26199,34,113Y12M,就業安居平衡型,青年承接平衡型,設籍青年、公開求才皆相對較多，租金中位數相對較低。,追查職缺是否符合青年職類與薪資期待，以及可負擔租屋是否具足夠房型。,"設籍青年約26,199人（推估）；公開求才375人；租金中位數NT$15,000；租賃登錄1,643件",較高
淡水區,139,849,91,33500.0,醫療／美容／保健,6082.0,16000.0,16611.98470897731,193.73303005567433,36208,41993,50,113Y12M,就業安居平衡型,青年承接平衡型,設籍青年、公開求才皆相對較多，租金中位數相對較低。,追查職缺是否符合青年職類與薪資期待，以及可負擔租屋是否具足夠房型。,"設籍青年約41,993人（推估）；公開求才849人；租金中位數NT$16,000；租賃登錄6,082件",較高
汐止區,360,1170,168,35000.0,技術／維修／操作,2691.0,20000.0,22814.71534745448,243.27784891165174,40136,46093,68,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約46,093人（推估）；公開求才1,170人；租金中位數NT$20,000；租賃登錄2,691件",較高
瑞芳區,80,205,43,33500.0,品管／製造／環衛,102.0,11000.0,12042.64705882353,118.5785731720865,6500,7431,12,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約7,431人（推估）；公開求才205人；租金中位數NT$11,000；租賃登錄102件",較高
