OCCU_DESC,WK_TYPE,CJOB1_COUNT,CJOB_NAME1,CJOB2_COUNT,CJOB_NAME2,JOB_PERSON,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,NT_L,NT_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE,district,zipcode
工務人員,全職,11,營建／製圖／施作,110113,工務人員／助理,2,20261011,"1.傳統產業工務。
2.機器設備維修。
3.水電系統保養。
4.依身心障礙者權益保障法第38條進用名額
其他條件
1.基本用電常識。
2.有水電工作經驗者可。
3.需電機相關科系畢業者。
4.俱乙級或丙級室內配線技術士佳。
意者請先電洽預約面試02-24925366分機603許小姐",新北市萬里區,1年以上,日班,月薪,30000,50000,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89038&HIRE_ID=14588807,金鍛工業股份有限公司,20260811,萬里區,207
日、夜班保全人員,全職,18,保全／軍警消,180101,保全人員,2,20260907,"訪客人車管制 ，登記通報，換證引導，場區巡邏。
意者請先電洽預約面試 0928868568林金福先生",新北市萬里區,無,日班、夜班,月薪,31800,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=382&HIRE_ID=14503127,國興保全股份有限公司,20260707,萬里區,207
房務員,全職,16,旅遊／餐飲／休閒,160105,房務員,2,20261004,"完成清房整房事宜，無不良嗜好，願意學習者。
意者請先電洽預約面試24983588分機1113林小姐",新北市萬里區,無,日班,月薪,30500,31500,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=864402&HIRE_ID=14570619,金湧泉旅館股份有限公司,20260804,萬里區,207
家庭照顧服務員,全職,17,醫療／美容／保健,170113,照顧服務員,1,20260828,在社會福利機構、醫療機構或家庭，負責照顧病患之專業照護的工作。,新北市萬里區,無,,月薪,32000,35000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2632187&HIRE_ID=14614801,周小姐,20260821,萬里區,207
核二廠保溫拆裝粗工(需進入微量輻射區),全職,11,營建／製圖／施作,110309,粗工,5,20261031,"工作內容：核電廠大修，配合保溫拆裝操作，工作需要爬高，需進入微量輻射區。有做過核電廠工作優先錄用。
工作期間：本工作為不定期契約115/5/1-116/4/30
工作時間與：08:00-16:30
薪資：日薪2000-2200 
上班地點：萬里核二廠，通過面試後，需配合核電廠體檢、教育訓練及配合辦理出入證。（定點交通接送基隆至核二廠往返）
應徵方式: 請先電洽0937-865869楊先生安排面試時間
",新北市萬里區,無,日班,日薪,2000,2200,國小,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1062445&HIRE_ID=14240533,明德工業社,20260520,萬里區,207
固定式起重機操作技術員,全職,11,營建／製圖／施作,110304,吊車、起重機操作員,2,20260920,"固定式起重機操作技術員。

*需具有機具設備維修能力
*需具有固定式起重機操作丙級技術仕證照或3公噸以上移動式起重機操作人員
*有相關工作經驗者較佳(薪資可調升)",新北市萬里區,無,日班,月薪,38000,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=511929&HIRE_ID=14534435,正榮機電科技工程有限公司,20260720,萬里區,207
外場服務員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,1,20260923,"1. 根據餐飲標準流程負責餐桌的佈置與清理，確保用餐環境舒適整潔。
2. 親切為顧客帶位或安排座位，並依需求提供服務，營造良好的顧客體驗。
3. 熟悉菜單及餐飲知識，向顧客提供專業建議，並耐心回答相關問題。
4. 接受並確認顧客點單，精確地將訂單傳遞至廚房。
5. 按餐飲服務標準完成上菜程序，並持續關注顧客的需求，適時提供服務。
6. 負責結帳操作，包括遞送帳單及付款流程，確保交易準確無誤。
7. 負責定期檢查店內衛生狀況，並主動維護店面整潔。
8. 支援餐廳內部營運及活動，協助完成主管交辦的其他事項。
意者請先電洽預約面試24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐
",新北市萬里區,無,日班、中班,月薪,30000,32000,國小,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544379,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
魚菜共生管理專業人員,全職,20,農林漁牧相關,200302,水產養殖工,1,20260907,"1.園區內魚菜共生系統管理(水質/魚/蔬菜種植作業等)。
2.協助園區內魚類養殖/生態池及相關維護相關工作。
3.園區相關工作及活動協助、主管交辦事項。
其他條件
1.具備水產養殖及農業相關知識。
2.可配合假日出勤(排班)。
意者請先Email:  maggie.chang@mail.lanew.com.tw張小姐",新北市萬里區,無,日班,月薪,37000,40000,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=13429&HIRE_ID=14504483,老牛皮國際股份有限公司,20260707,萬里區,207
財務人員,全職,04,財務／金融／保險,040105,會計/出納/記帳人員,1,20261011,"1. 負責公司日常帳務處理及各類科目明細表編製。
2. 每月定期產出財務報表及分析。
3. 執行主管交辦事項。 
意者請先電洽預約面試24925366分機603許小姐",新北市萬里區,無,日班,月薪,31000,50000,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89038&HIRE_ID=14588797,金鍛工業股份有限公司,20260811,萬里區,207
菇類栽培管理人員,全職,20,農林漁牧相關,200102,園藝栽培工,1,20260907,"1.菇類栽培管理。
2.協助園區農事工作管理及維護相關工作。
3.其它主管交辦事項。
其他條件
1.具備基本食用菇類栽培相關知職。
2.需負擔管理責任。
3.可配合假日出勤(排班)。
4.無經驗可，具相關經驗尤佳。
意者請先Email:  maggie.chang@mail.lanew.com.tw張小姐",新北市萬里區,無,日班,月薪,34000,40000,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=13429&HIRE_ID=14504165,老牛皮國際股份有限公司,20260707,萬里區,207
西點蛋糕烘焙助手,全職,16,旅遊／餐飲／休閒,160203,西點、麵包烘焙人員,1,20260923,"1. 負責製作各類高品質西點、蛋糕及甜點，包括麵包、巧克力與糖藝製品，確保每項出品均形美味佳，契合公司高端客群需求。
2. 按照標準操作流程進行烘焙製作，並確保食品安全與營養均衡，遵從相關食品衛生法規及要求。
3. 熟練操作及日常維護各類烘焙設備，定時檢查設備性能，確保運作效率與使用安全。
4. 負責食材庫存管理與採購計劃，監控成本並避免浪費，同時確保所有原材料的新鮮度與品質。
5. 協助季節性或主題活動設計多樣甜點菜單，充分融入創意與藝術性，提升顧客體驗與滿意度。
6. 執行產品檢視及品質改進，定期參與部門協作會議，積極提出改善建議並落實執行。
7. 協助新進同仁的培訓與技術指導，共同提升團隊專業技能及工作效率，促進團隊協作。
8. 維護烘焙工作區域的清潔與衛生標準，確保工作環境井然有序，符合公司品牌形象。
意者請先電洽預約面試24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐",新北市萬里區,無,日班、中班,月薪,30000,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544289,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
